Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.694444;86.2;34.355556;28.587407;23.918519;63.444444;6.17328;1.91486;-8.50388888;-39.31527777;342.78
2020-02-29;6.05;148.6;32.808;27.532;23.432;72.08;4.62996;1.88285;-8.50388888;-39.31527777;342.78
2020-03-31;7.328431;91.2;32.16;26.9352;23.384615;80.64;5.1444;2.188892;-8.50388888;-39.31527777;342.78
2020-04-30;6.745283;126.3;32.407692;26.773846;23.138462;77.673077;5.1444;2.164531;-8.50388888;-39.31527777;342.78
2020-05-31;6.084906;37.4;31.515385;26.247692;22.723077;74.846154;5.65884;2.931337;-8.50388888;-39.31527777;342.78
2020-06-30;6.029412;11;30.376923;24.944615;20.907692;73.317308;6.68772;3.205357;-8.50388888;-39.31527777;342.78
2020-07-31;4.398148;1.6;30.577778;24.617037;19.844444;63.37037;7.20216;3.68682;-8.50388888;-39.31527777;342.78
2020-08-31;3.891509;1.3;31.25;25.343333;20.148148;55.46875;7.20216;3.795208;-8.50388888;-39.31527777;342.78
2020-09-30;2.644231;0;32.761538;26.641667;21.016667;49.490385;7.20216;3.848407;-8.50388888;-39.31527777;342.78
2020-10-31;2.311321;1.2;35.577778;29.356667;23.183333;44.555556;7.7166;3.144878;-8.50388888;-39.31527777;342.78
2020-11-30;5.9;50.2;32.984;27.570435;23.0625;62.84;5.65884;2.459023;-8.50388888;-39.31527777;342.78
2020-12-31;3.865741;18.6;34.4;28.6752;23.274074;50.807692;5.65884;2.028641;-8.50388888;-39.31527777;342.78

