Nome: ARCOVERDE
Codigo Estacao: 82890
Latitude: -8.433537
Longitude: -37.055365
Altitude: 683.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;3,392857;58,7;33,471429;26,6;21,092857;75,741071;5,65884;2,221074;-8.433537;-37.055365;683.91
2020-02-29;5,229885;64,3;32,835714;25,995;21,17931;76,068966;5,1444;2,181935;-8.433537;-37.055365;683.91
2020-03-31;5,609756;510,1;31,23871;24,827097;20,848387;86,306452;3,60108;1,40657;-8.433537;-37.055365;683.91
2020-04-30;3,897059;131,6;29,569231;24,1344;20,268;81,846154;5,1444;1,291144;-8.433537;-37.055365;683.91
2020-05-31;4,245283;82,8;27,703846;22,9304;19,473077;90,807692;5,1444;1,795687;-8.433537;-37.055365;683.91
2020-06-30;4,509804;91,4;26,653846;21,411538;17,880769;88,307692;5,65884;1,856019;-8.433537;-37.055365;683.91
2020-07-31;3,263889;78;26,62963;20,740741;16,462963;89,851852;5,1444;2,705573;-8.433537;-37.055365;683.91
2020-08-31;2,716346;19,8;28,292308;21,216923;16,011538;85,884615;6,68772;2,473269;-8.433537;-37.055365;683.91
2020-09-30;2,5;22,8;30,423077;22,583846;16,988462;81,384615;5,1444;3,096727;-8.433537;-37.055365;683.91
2020-10-31;1,597222;32;33,718519;25,422308;19,034615;75,148148;5,65884;3,34386;-8.433537;-37.055365;683.91
2020-11-30;2,843137;38,5;31,912;24,9808;19,753846;78,92;5,1444;2,794115;-8.433537;-37.055365;683.91
2020-12-31;1,944444;0;33,17037;25,542308;19,596296;74,555556;5,65884;3,0009;-8.433537;-37.055365;683.91

