Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.08871;57.4;32.148387;27.759355;22.648387;70.975806;4.11552;1.742458;-8.05916666;-34.95916666;11.3
2020-02-29;6.091954;84.3;32.060714;27.802857;22.613793;74.526786;3.08664;1.324535;-8.05916666;-34.95916666;11.3
2020-03-31;6.036932;166.2;32.184;27.652;22.28;76.696429;3.08664;.958729;-8.05916666;-34.95916666;11.3
2020-04-30;5.951705;251.1;31.276667;26.803571;21.8;82.208333;3.08664;.792356;-8.05916666;-34.95916666;11.3
2020-05-31;6.440217;246.9;29.97;25.858667;21.403226;85.2;3.08664;.754885;-8.05916666;-34.95916666;11.3
2020-06-30;6.23494;329.6;29.208696;25.05;20.486207;82.771739;5.1444;.973097;-8.05916666;-34.95916666;11.3
2020-07-31;5.909091;186.9;28.64;24.144138;19.165517;81.689655;5.1444;1.262716;-8.05916666;-34.95916666;11.3
2020-08-31;5.575397;105.8;null;null;18.851613;null;5.1444;1.869949;-8.05916666;-34.95916666;11.3
2020-09-30;5.539216;62.4;null;null;19.956;null;5.1444;2.170937;-8.05916666;-34.95916666;11.3
2020-10-31;null;null;null;null;null;null;null;null;-8.05916666;-34.95916666;11.3
2020-11-30;5.220588;57.4;null;null;22.064;null;5.1444;2.138456;-8.05916666;-34.95916666;11.3
2020-12-31;5.175;62.9;null;null;22.092308;null;3.08664;1.821118;-8.05916666;-34.95916666;11.3

