Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,848214;132,9;32,566667;27,322;23,86129;88,185484;3,08664;,890063;-9.95916666;-67.86888888;160.71
2020-02-29;7,153614;297,4;31,962069;26,416552;23,3;87,189655;3,08664;1,158968;-9.95916666;-67.86888888;160.71
2020-03-31;7,587209;237,1;32,15;26,475333;23,512903;87,925;3,08664;1,02888;-9.95916666;-67.86888888;160.71
2020-04-30;6,25;217,5;31,406897;25,653103;22,43;87,15;5,1444;1,063176;-9.95916666;-67.86888888;160.71
2020-05-31;5,122283;131,2;31,390323;24,349333;20,493333;85,846774;5,1444;,939412;-9.95916666;-67.86888888;160.71
2020-06-30;4,847561;28,5;31,57931;24,825714;20,734483;86,991379;3,08664;,966143;-9.95916666;-67.86888888;160.71
2020-07-31;4,253049;15,4;32,623333;24,517857;19,471429;82,416667;3,08664;1,111444;-9.95916666;-67.86888888;160.71
2020-08-31;3,172043;12,6;35,058065;25,514667;19,293333;68,282258;7,20216;1,163082;-9.95916666;-67.86888888;160.71
2020-09-30;5,809659;60,2;35,573333;27,190714;22,331034;73,125;8,74548;1,308964;-9.95916666;-67.86888888;160.71
2020-10-31;5,43956;102,3;34,283871;27,049655;22,573333;77,185484;7,20216;1,300233;-9.95916666;-67.86888888;160.71
2020-11-30;5,800562;44,7;34,483333;27,348;23,09;78,908333;5,1444;1,04044;-9.95916666;-67.86888888;160.71
2020-12-31;6,603261;320;32,043333;26,118;23,045161;86,183333;5,1444;1,263733;-9.95916666;-67.86888888;160.71

