Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;null;null;null;null;null;null;null;-9.10833333;-45.9486111;285.05
2020-02-29;null;null;null;null;null;null;null;null;-9.10833333;-45.9486111;285.05
2020-03-31;7,17803;270,2;31,704762;26,306667;23,104167;83,714286;3,60108;1,052623;-9.10833333;-45.9486111;285.05
2020-04-30;6,304348;80,9;33,019048;27,032381;22,783333;75,309524;4,62996;1,289828;-9.10833333;-45.9486111;285.05
2020-05-31;5,78125;59,9;33,471429;27,134286;21,944;70,285714;4,62996;1,236085;-9.10833333;-45.9486111;285.05
2020-06-30;2,456897;,4;33,0375;25,525;19,104;70,364583;4,11552;1,108707;-9.10833333;-45.9486111;285.05
2020-07-31;1,603774;0;34,157692;24,8688;17,284615;64,259259;5,1444;1,105093;-9.10833333;-45.9486111;285.05
2020-08-31;2,882653;1,3;35,741667;26,180833;17,34;57,375;4,11552;1,11287;-9.10833333;-45.9486111;285.05
2020-09-30;2,668269;0;37,784615;28,397692;19,046154;49,423077;4,62996;1,167383;-9.10833333;-45.9486111;285.05
2020-10-31;4,625;28,6;37,284;28,5925;19,733333;58,36;4,62996;,874548;-9.10833333;-45.9486111;285.05
2020-11-30;null;null;null;null;null;null;null;null;-9.10833333;-45.9486111;285.05
2020-12-31;6,415094;50;34,025926;27,006154;20,915385;77,222222;7,7166;,873577;-9.10833333;-45.9486111;285.05

