Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,268519;188,8;null;null;17,018519;null;2,5722;,62876;-9.28583333;-43.32444443;515.3
2020-02-29;7,325;118,7;null;null;17,76;null;1,02888;,565884;-9.28583333;-43.32444443;515.3
2020-03-31;8,622449;117,4;null;null;17,841667;null;1,02888;,545936;-9.28583333;-43.32444443;515.3
2020-04-30;7,216981;108,7;null;null;16,584615;null;1,02888;,533853;-9.28583333;-43.32444443;515.3
2020-05-31;6,838235;4,6;null;null;15,923077;null;1,02888;,524527;-9.28583333;-43.32444443;515.3
2020-06-30;5,288462;15,5;null;null;14,283333;null;,51444;,51444;-9.28583333;-43.32444443;515.3
2020-07-31;null;null;null;null;null;null;null;null;-9.28583333;-43.32444443;515.3
2020-08-31;4,338235;0;null;null;12,833333;null;1,02888;,534614;-9.28583333;-43.32444443;515.3
2020-09-30;3,411458;0;null;null;15,582609;null;1,02888;,525158;-9.28583333;-43.32444443;515.3
2020-10-31;null;null;null;null;15,583333;null;1,02888;null;-9.28583333;-43.32444443;515.3
2020-11-30;7,806122;61,7;null;null;15,68;null;1,02888;,524939;-9.28583333;-43.32444443;515.3
2020-12-31;6,607143;23;null;null;15,208333;null;1,02888;,524939;-9.28583333;-43.32444443;515.3

