Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.625699
Longitude: -42.077217
Altitude: 397.39
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,76087;106,8;31,496774;26,929032;22,880645;70,419355;null;null;-9.625699;-42.077217;397.39
2020-02-29;6,034483;75,3;31,724138;27,585;23,489286;66,974138;null;null;-9.625699;-42.077217;397.39
2020-03-31;6,55914;355,3;29,806452;25,965806;22,951613;81,427419;null;null;-9.625699;-42.077217;397.39
2020-04-30;5,805556;72,3;29,616667;26,402667;23,09;75,533333;null;null;-9.625699;-42.077217;397.39
2020-05-31;5,336022;3,1;29,735484;26,112903;22,412903;71,927419;null;null;-9.625699;-42.077217;397.39
2020-06-30;4,236111;11;29,653333;25,566;22;66,016667;null;null;-9.625699;-42.077217;397.39
2020-07-31;3,413978;2,4;29,8;25,277333;21,006452;62,209677;null;null;-9.625699;-42.077217;397.39
2020-08-31;3,252688;4,8;30,354839;25,603226;21,6;60,854839;null;null;-9.625699;-42.077217;397.39
2020-09-30;2,433036;0;32,073077;26,960833;22,4;60,375;null;null;-9.625699;-42.077217;397.39
2020-10-31;2,24537;61,2;33,718519;28,359259;23,718519;57,740741;null;null;-9.625699;-42.077217;397.39
2020-11-30;5,65;205,3;30,291667;26,185;22,416;75,44;null;null;-9.625699;-42.077217;397.39
2020-12-31;3,611111;,6;32,140741;27,28;22,67037;68,115385;null;null;-9.625699;-42.077217;397.39

