Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,681818;106,3;33,6;28,342222;23,940741;68,009259;5,1444;2,113881;-9.3886111;-40.52333332;372.54
2020-02-29;6,014706;19,8;33,460714;28,636429;24,565517;65,982143;5,1444;2,136439;-9.3886111;-40.52333332;372.54
2020-03-31;7,795699;113,5;31,874194;27,712258;24,545161;70,701613;4,62996;2,450505;-9.3886111;-40.52333332;372.54
2020-04-30;7,138889;77,5;32,042857;27,413077;23,731034;69,683333;4,11552;2,283189;-9.3886111;-40.52333332;372.54
2020-05-31;6,685393;6,5;31,553571;26,638462;23,072414;70,291667;4,11552;2,664684;-9.3886111;-40.52333332;372.54
2020-06-30;6,468023;19,1;30,172414;24,985385;21,389286;72,301724;5,1444;3,038785;-9.3886111;-40.52333332;372.54
2020-07-31;4,782609;4,9;30,096667;24,544138;20,126667;67,566667;5,1444;3,176108;-9.3886111;-40.52333332;372.54
2020-08-31;4,478022;4,4;30,924138;25,010714;20,176667;66,775862;5,1444;3,126212;-9.3886111;-40.52333332;372.54
2020-09-30;3,892045;,6;33,183333;26,930667;21,33;54,366667;5,1444;3,221096;-9.3886111;-40.52333332;372.54
2020-10-31;3,305556;2,1;35,651724;29,584138;23,270968;50,431034;5,1444;2,783692;-9.3886111;-40.52333332;372.54
2020-11-30;6,30618;163,1;32,348276;27,251034;22,896667;66,017241;5,1444;2,770961;-9.3886111;-40.52333332;372.54
2020-12-31;5,338235;1,4;34,314815;29,008;23,827586;55,333333;5,1444;2,559951;-9.3886111;-40.52333332;372.54

