Nome: AGUA BRANCA
Codigo Estacao: 82989
Latitude: -9.26472222
Longitude: -37.93805555
Altitude: 603.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4.872449;84.6;31.904348;25.922609;21.577778;74;8.74548;3.328112;-9.26472222;-37.93805555;603.42
2020-02-29;5.885417;121.4;31.779167;25.623478;21.6125;80.666667;7.20216;2.936595;-9.26472222;-37.93805555;603.42
2020-03-31;5.714286;105.8;30.304167;25.227826;21.508;82.833333;7.20216;2.498709;-9.26472222;-37.93805555;603.42
2020-04-30;5.7;174.6;28.663636;24.467273;21.296154;86.304348;5.1444;1.985738;-9.26472222;-37.93805555;603.42
2020-05-31;7.941176;85.8;26.916667;23.031;20.563636;91.875;5.1444;2.340198;-9.26472222;-37.93805555;603.42
2020-06-30;8.647959;131.1;25.272;21.663;19.215;92.8;7.20216;3.202127;-9.26472222;-37.93805555;603.42
2020-07-31;6.875;156.7;25.075;20.776667;17.87619;90.458333;5.1444;2.876664;-9.26472222;-37.93805555;603.42
2020-08-31;6.666667;74.8;26.05;20.806667;17.295238;87.653846;7.20216;3.833082;-9.26472222;-37.93805555;603.42
2020-09-30;4.95;24.7;28.7;22.073684;17.922727;81.833333;8.74548;4.352162;-9.26472222;-37.93805555;603.42
2020-10-31;3.263889;163.9;31.892;24.511;19.478261;74.423077;7.20216;4.659079;-9.26472222;-37.93805555;603.42
2020-11-30;5.239362;54.5;29.9;24.144211;19.8;80.166667;8.74548;3.9185;-9.26472222;-37.93805555;603.42
2020-12-31;null;null;null;null;null;null;null;null;-9.26472222;-37.93805555;603.42

