Nome: PAO DE ACUCAR
Codigo Estacao: 82990
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.86
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,524194;49,4;31,474194;28,96129;25,219355;72,145161;8,23104;1,435909;-9.74916666;-37.43083332;20.86
2020-02-29;5,301724;14,3;31,62069;29,24069;25,448276;72,681034;5,1444;1,224012;-9.74916666;-37.43083332;20.86
2020-03-31;5,76087;172,2;30,762069;28,648276;25,212903;77,091667;5,1444;,77166;-9.74916666;-37.43083332;20.86
2020-04-30;5,875;146,3;30,21;28,069333;24,536667;80,941667;5,1444;,651624;-9.74916666;-37.43083332;20.86
2020-05-31;6,372283;96,3;27,548387;25,90069;23,84;88,846774;3,08664;,302948;-9.74916666;-37.43083332;20.86
2020-06-30;6,513889;80,2;26,316667;24,625517;21,796667;88,516667;3,08664;,525872;-9.74916666;-37.43083332;20.86
2020-07-31;null;null;null;null;null;null;null;null;-9.74916666;-37.43083332;20.86
2020-08-31;6,100543;24,5;26,070968;23,946452;20,348387;83,58871;5,1444;,939412;-9.74916666;-37.43083332;20.86
2020-09-30;5,884831;9,4;26,956667;24,98069;20,231034;77,241667;5,1444;1,398814;-9.74916666;-37.43083332;20.86
2020-10-31;5,123626;17,4;29,586667;27,431724;22,554839;69,137097;5,1444;1,68465;-9.74916666;-37.43083332;20.86
2020-11-30;5,982143;14,7;30,510714;27,779259;23,532143;71,017857;5,1444;1,45758;-9.74916666;-37.43083332;20.86
2020-12-31;null;null;null;null;24,683333;null;5,1444;null;-9.74916666;-37.43083332;20.86

