Nome: PALMEIRA DOS INDIOS
Codigo Estacao: 82992
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 277.98
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,487069;50,4;34,622222;null;null;74,925926;1,54332;1,002271;-9.42027777;-36.62027777;277.98
2020-02-29;6,973684;77;34,110714;null;null;78,892857;1,54332;,911552;-9.42027777;-36.62027777;277.98
2020-03-31;7,139831;188,6;32,996552;null;null;79,37931;1,54332;,793458;-9.42027777;-36.62027777;277.98
2020-04-30;7,232143;63,2;null;null;null;null;1,54332;,795044;-9.42027777;-36.62027777;277.98
2020-05-31;7,889344;165,6;null;null;null;null;2,5722;,649375;-9.42027777;-36.62027777;277.98
2020-06-30;8,275862;203,4;null;null;null;null;1,02888;,594267;-9.42027777;-36.62027777;277.98
2020-07-31;7,083333;84,2;null;null;null;null;1,02888;,636511;-9.42027777;-36.62027777;277.98
2020-08-31;7,5;79,4;null;null;null;null;1,02888;,640942;-9.42027777;-36.62027777;277.98
2020-09-30;6,425439;42,8;null;null;null;null;2,5722;,835965;-9.42027777;-36.62027777;277.98
2020-10-31;5,275424;12,6;null;null;null;null;1,54332;1,02888;-9.42027777;-36.62027777;277.98
2020-11-30;6,206897;51;null;null;null;null;1,54332;,993401;-9.42027777;-36.62027777;277.98
2020-12-31;5,8125;1,8;null;null;null;null;1,54332;1,106046;-9.42027777;-36.62027777;277.98

