Nome: PORTO DE PEDRAS
Codigo Estacao: 82996
Latitude: -9.162012
Longitude: -35.299881
Altitude: 42.21
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,046296;8,7;31,459259;27,874074;24,625926;78,888889;8,74548;3,162853;-9.162012;-35.299881;42.21
2020-02-29;4,923469;99,6;31,524;28,064167;24,804167;81,6;8,74548;3,139134;-9.162012;-35.299881;42.21
2020-03-31;4,735577;145,2;31,296154;27,778462;24,434615;83,884615;8,74548;2,295194;-9.162012;-35.299881;42.21
2020-04-30;4,5;147;30,684;27,328333;24;85,916667;5,1444;1,616811;-9.162012;-35.299881;42.21
2020-05-31;5,175;218,4;30,047826;26,835652;24,130769;87,565217;11,31768;2,541334;-9.162012;-35.299881;42.21
2020-06-30;4,4;212;28,524;25,8168;23,065385;85,12;9,77436;2,813672;-9.162012;-35.299881;42.21
2020-07-31;4,46875;null;28,509524;25,252222;22,278947;81,142857;8,23104;2,585061;-9.162012;-35.299881;42.21
2020-08-31;4,775;43,7;27,966667;24,82;21,480769;79,75;11,83212;3,611369;-9.162012;-35.299881;42.21
2020-09-30;4,775;58,9;28,684;25,4664;22,34;78,84;8,74548;4,125809;-9.162012;-35.299881;42.21
2020-10-31;5,235849;3,1;30,223077;26,726923;23,676923;78,846154;9,77436;3,892272;-9.162012;-35.299881;42.21
2020-11-30;4,947917;21,2;30,783333;27,3275;24,272;78,5;8,74548;5,35875;-9.162012;-35.299881;42.21
2020-12-31;5,353774;8;30,876923;27,4256;24,711538;77,346154;8,74548;4,202878;-9.162012;-35.299881;42.21

