Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 347.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;219.4;29.919355;null;20.864516;null;null;null;-22.96583333;-43.27916666;347.1
2020-02-29;null;484.4;28.665517;null;20.737931;null;null;null;-22.96583333;-43.27916666;347.1
2020-03-31;null;343.6;27.848387;null;18.983871;null;null;null;-22.96583333;-43.27916666;347.1
2020-04-30;null;67;26.586667;null;17.726667;null;null;null;-22.96583333;-43.27916666;347.1
2020-05-31;null;203;24.619355;null;14.780645;null;null;null;-22.96583333;-43.27916666;347.1
2020-06-30;null;84.1;26.336667;null;16.35;null;null;null;-22.96583333;-43.27916666;347.1
2020-07-31;null;167.4;25.196774;null;15.990323;null;null;null;-22.96583333;-43.27916666;347.1
2020-08-31;null;315;25.258065;null;15.164516;null;null;null;-22.96583333;-43.27916666;347.1
2020-09-30;null;389.5;27.76;null;18.67;null;null;null;-22.96583333;-43.27916666;347.1
2020-10-31;null;280.4;26.93871;null;18.764516;null;null;null;-22.96583333;-43.27916666;347.1
2020-11-30;null;297.3;26.326667;null;18.413333;null;null;null;-22.96583333;-43.27916666;347.1
2020-12-31;null;347.1;28.980645;null;20.803226;null;null;null;-22.96583333;-43.27916666;347.1

