Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.190897
Longitude: -48.301822
Altitude: 291.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.948925;416.2;32.351613;26.786452;23.112903;81.403226;2.5722;.868463;-10.190897;-48.301822;291.68
2020-02-29;6.802326;198.7;31.975;27.05037;23.417241;78.928571;2.5722;.795587;-10.190897;-48.301822;291.68
2020-03-31;7.083333;195.5;31.946667;26.789655;23.42;80.866667;9.25992;1.291816;-10.190897;-48.301822;291.68
2020-04-30;6.149425;285;32.893333;27.154286;23.232143;77.158333;4.62996;1.130572;-10.190897;-48.301822;291.68
2020-05-31;4.583333;92.1;33.946667;27.771724;23.445161;70.314516;6.17328;1.034412;-10.190897;-48.301822;291.68
2020-06-30;2.291667;0;34.716667;27.549333;22.21;57.316667;3.60108;1.017448;-10.190897;-48.301822;291.68
2020-07-31;1.908602;0;35.664516;27.476667;21.163333;47.951613;5.1444;1.216955;-10.190897;-48.301822;291.68
2020-08-31;2.625;0;37.670968;29.232;22.313333;41.104839;9.77436;1.879685;-10.190897;-48.301822;291.68
2020-09-30;2.847222;1.1;39.2;31.191034;25.366667;39.016667;8.74548;2.080624;-10.190897;-48.301822;291.68
2020-10-31;4.932065;128.5;36.687097;29.473103;24.286207;58.774194;11.83212;1.351112;-10.190897;-48.301822;291.68
2020-11-30;6.097222;97.5;34.372414;28.149231;23.666667;67.275;8.74548;1.433496;-10.190897;-48.301822;291.68
2020-12-31;5.739247;172.2;33.45;27.334286;23.106897;72.806452;3.60108;1.068022;-10.190897;-48.301822;291.68

