Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.923077;326.1;32.570968;27.08129;23.451613;79.943548;2.05776;.791021;-10.71083333;-48.40638888;243.28
2020-02-29;6.757246;158.3;32.711538;27.339231;23.734615;79.326923;5.1444;1.011141;-10.71083333;-48.40638888;243.28
2020-03-31;7.590361;168;32.417241;27.188966;23.903448;80.858333;5.1444;.889087;-10.71083333;-48.40638888;243.28
2020-04-30;6.006494;243.4;33.424138;27.648462;23.703571;77.586207;2.05776;.811;-10.71083333;-48.40638888;243.28
2020-05-31;4.622093;126.9;33.954839;27.775333;23.573333;72.758065;4.11552;1.017817;-10.71083333;-48.40638888;243.28
2020-06-30;2.176966;.4;34.803333;27.350345;21.482759;62.033333;3.08664;.853503;-10.71083333;-48.40638888;243.28
2020-07-31;1.538462;0;35.764516;27.030968;19.977419;51.75;4.62996;1.40042;-10.71083333;-48.40638888;243.28
2020-08-31;2.19086;0;37.35;28.856552;21.546667;44.653226;4.11552;1.151898;-10.71083333;-48.40638888;243.28
2020-09-30;2.456897;25.8;38.496667;30.525714;23.639286;43.008333;4.11552;1.229926;-10.71083333;-48.40638888;243.28
2020-10-31;3.977273;111.3;36.956667;30.002759;24.523333;58.383333;5.1444;1.164556;-10.71083333;-48.40638888;243.28
2020-11-30;6.682692;93.6;34.558621;28.66;24.47931;67.175;3.08664;1.274668;-10.71083333;-48.40638888;243.28
2020-12-31;6.058824;319.9;33.341935;27.743226;23.451613;74.217742;6.17328;1.04584;-10.71083333;-48.40638888;243.28

