Nome: STa. R. DE CASSIA (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.002765
Longitude: -44.52496
Altitude: 450.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,634409;239,3;32,822581;25,581935;17,419355;71,741935;null;null;-11.002765;-44.52496;450.01
2020-02-29;6,991279;136,4;32,246429;25,226429;17,310345;74,794643;null;null;-11.002765;-44.52496;450.01
2020-03-31;8,641304;249,7;31,241935;24,688;17,046667;78,983871;null;null;-11.002765;-44.52496;450.01
2020-04-30;7;48,6;32,46;25,151333;16,66;72,116667;null;null;-11.002765;-44.52496;450.01
2020-05-31;6,154891;6,4;32,813333;24,750667;15,232258;63,791667;null;null;-11.002765;-44.52496;450.01
2020-06-30;4,972222;0;32,913333;23,974667;12,283333;52,45;null;null;-11.002765;-44.52496;450.01
2020-07-31;4,274194;0;33,329032;23,807097;11,390323;48,16129;null;null;-11.002765;-44.52496;450.01
2020-08-31;4,69086;,3;34,719355;24,921935;12,080645;43,741935;null;null;-11.002765;-44.52496;450.01
2020-09-30;4,513889;,5;36,486667;27,126207;14,36;42;null;null;-11.002765;-44.52496;450.01
2020-10-31;5,591398;61,6;37,763333;28,108276;16,196667;42,933333;null;null;-11.002765;-44.52496;450.01
2020-11-30;6,643258;233,8;32,976667;24,898;15,796667;67,333333;null;null;-11.002765;-44.52496;450.01
2020-12-31;6,155914;81,9;34,509677;26,149032;16,006452;60,83871;null;null;-11.002765;-44.52496;450.01

