Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;3.763441;14.5;31.251613;27.894839;23.970968;60.145161;5.1444;2.959413;-10.9525;-37.05444444;3.68
2020-02-29;4.11859;114.7;31.388889;28.160741;23.989655;63.2125;4.11552;2.690917;-10.9525;-37.05444444;3.68
2020-03-31;4.858871;181;30.716129;27.893333;23.964516;null;4.11552;2.265195;-10.9525;-37.05444444;3.68
2020-04-30;4.541667;281.2;30.548276;27.714615;23.903333;null;4.11552;2.246388;-10.9525;-37.05444444;3.68
2020-05-31;5.568182;195.5;29.042308;26.563846;23.722222;null;4.11552;1.880044;-10.9525;-37.05444444;3.68
2020-06-30;5.465686;259.8;28.473077;26.029231;23.65;null;5.1444;1.997238;-10.9525;-37.05444444;3.68
2020-07-31;5.231481;57;27.888889;25.552308;23.496296;null;3.08664;1.781487;-10.9525;-37.05444444;3.68
2020-08-31;4.807692;98.2;28.569231;25.608;23.588462;null;4.11552;2.097332;-10.9525;-37.05444444;3.68
2020-09-30;4.289216;39.6;28.836;26.159167;23.868;null;4.11552;2.320024;-10.9525;-37.05444444;3.68
2020-10-31;3.888889;15;29.484;26.938333;24.069231;null;5.1444;3.106053;-10.9525;-37.05444444;3.68
2020-11-30;3.852041;23;29.776;27.2552;24.176;null;5.1444;3.391104;-10.9525;-37.05444444;3.68
2020-12-31;3.703704;2;29.788889;27.366667;24.188889;null;5.1444;3.51534;-10.9525;-37.05444444;3.68

