Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21376
Longitude: -36.842198
Altitude: 18.46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4,69086;41,3;34,735484;28,670968;24,245161;68,032258;null;null;-10.21376;-36.842198;18.46
2020-02-29;5;27,6;34,47931;28,968276;24,613793;70,465517;null;null;-10.21376;-36.842198;18.46
2020-03-31;5;104,9;34,525806;28,77871;24,832258;73,975806;null;null;-10.21376;-36.842198;18.46
2020-04-30;4,652778;122,8;32,686667;27,841333;24,04;79,675;null;null;-10.21376;-36.842198;18.46
2020-05-31;5,817901;227,2;30,059259;27,154074;23,907143;79,740741;null;null;-10.21376;-36.842198;18.46
2020-06-30;5,616883;146,9;28,407692;25,972;23,44;81,048077;null;null;-10.21376;-36.842198;18.46
2020-07-31;5,522152;109,3;27,530769;25,249231;22,877778;78,009615;null;null;-10.21376;-36.842198;18.46
2020-08-31;5,063291;56;28,077778;25,4336;23,030769;75,953704;null;null;-10.21376;-36.842198;18.46
2020-09-30;4,819079;45,5;28,536;26,0888;23,407692;74,18;null;null;-10.21376;-36.842198;18.46
2020-10-31;3,704268;14;31,292308;27,796923;24,340741;66,134615;null;null;-10.21376;-36.842198;18.46
2020-11-30;4,763514;20,6;31,632;28,2352;24,264;65,66;null;null;-10.21376;-36.842198;18.46
2020-12-31;4,291667;,8;31,806452;28,405333;24,42;62,822581;null;null;-10.21376;-36.842198;18.46

