Nome: IGUABA GRANDE
Codigo Estacao: 83114
Latitude: -22.84694444
Longitude: -42.18555555
Altitude: 5.6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.333333;159.4;31.46129;25.439355;22.219355;75.508065;null;null;-22.84694444;-42.18555555;5.6
2020-02-29;6.655172;227;30.289655;24.84;21.924138;81.836207;null;null;-22.84694444;-42.18555555;5.6
2020-03-31;null;null;null;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-04-30;null;20.4;28.189655;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-05-31;null;null;null;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-06-30;null;null;null;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-07-31;null;null;null;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-08-31;null;null;null;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-09-30;null;133.4;29.066667;null;19.83;null;null;null;-22.84694444;-42.18555555;5.6
2020-10-31;null;69.6;28.435484;null;19.964516;null;null;null;-22.84694444;-42.18555555;5.6
2020-11-30;null;116;27.648276;null;null;null;null;null;-22.84694444;-42.18555555;5.6
2020-12-31;null;140.8;29.206452;null;null;null;null;null;-22.84694444;-42.18555555;5.6

