Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,600806;161,7;31,374194;24,720645;20,251613;null;null;null;-11.31138888;-41.85861111;747.22
2020-02-29;7,112069;62,4;32,334483;25,742069;20,565517;null;null;null;-11.31138888;-41.85861111;747.22
2020-03-31;8,934426;233,9;30,254839;24,352667;20,51;null;null;null;-11.31138888;-41.85861111;747.22
2020-04-30;7,895833;106;29,433333;23,610667;20,043333;null;null;null;-11.31138888;-41.85861111;747.22
2020-05-31;8,795455;,5;29,111111;23,156154;19,573077;null;null;null;-11.31138888;-41.85861111;747.22
2020-06-30;8,088235;15,1;28,85;22,370769;18,330769;null;null;null;-11.31138888;-41.85861111;747.22
2020-07-31;7,083333;2,2;29,034615;21,8664;17,607407;null;null;null;-11.31138888;-41.85861111;747.22
2020-08-31;6,225962;,8;29,565385;22,502308;17,753846;null;null;null;-11.31138888;-41.85861111;747.22
2020-09-30;6,754808;6,3;31,265385;23,421538;18,773077;null;null;null;-11.31138888;-41.85861111;747.22
2020-10-31;5,486111;69,6;33,62;25,635;20,715385;null;null;null;-11.31138888;-41.85861111;747.22
2020-11-30;7,908163;275,1;30,2;23,9944;20,556;null;null;null;-11.31138888;-41.85861111;747.22
2020-12-31;5,092593;2,1;32,040741;25,223704;20,803704;null;null;null;-11.31138888;-41.85861111;747.22

