Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.547494
Longitude: -41.151165
Altitude: 1001.66
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.978261;244.9;27.848387;22.781429;19.335484;74.290323;6.17328;3.08664;-11.547494;-41.151165;1001.66
2020-02-29;5.991379;30.6;29.206897;23.671034;19.97931;69.767241;5.1444;2.955039;-11.547494;-41.151165;1001.66
2020-03-31;7.150538;57.7;28.064516;22.976774;19.612903;76.975806;5.1444;3.332677;-11.547494;-41.151165;1001.66
2020-04-30;7.555556;111.4;26.033333;21.95931;19.02;83;5.1444;3.25812;-11.547494;-41.151165;1001.66
2020-05-31;7.916667;42.5;24.434483;20.234286;17.596667;88.387931;5.1444;3.007495;-11.547494;-41.151165;1001.66
2020-06-30;7.156863;54.1;23.438462;18.741667;15.783333;87.769231;6.17328;3.207685;-11.547494;-41.151165;1001.66
2020-07-31;6.967593;46.3;23.77037;18.402222;15.159259;84.592593;10.2888;3.334333;-11.547494;-41.151165;1001.66
2020-08-31;7.067308;34.8;23.584615;18.070769;14.646154;86.384615;6.17328;3.08664;-11.547494;-41.151165;1001.66
2020-09-30;6.682692;36.9;25.2;18.921538;15.553846;83.076923;5.1444;3.363646;-11.547494;-41.151165;1001.66
2020-10-31;4.143519;77.4;28.638462;21.690769;17.425926;72.846154;5.1444;2.524567;-11.547494;-41.151165;1001.66
2020-11-30;7.1;230.1;26.284;20.8096;17.753846;83.36;6.17328;2.880864;-11.547494;-41.151165;1001.66
2020-12-31;4.578804;.8;27.587097;21.748;17.48;69.048387;5.1444;2.917044;-11.547494;-41.151165;1001.66

