Nome: ITABAIANINHA
Codigo Estacao: 83195
Latitude: -11.272334
Longitude: -37.794973
Altitude: 205.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,583333;100;32,887097;26,93871;22,958065;71,620968;3,08664;2,107545;-11.272334;-37.794973;205.59
2020-02-29;4,779412;60,3;32,882759;27,163448;23,4;77,258621;3,08664;1,283143;-11.272334;-37.794973;205.59
2020-03-31;5,535714;172,5;32,474194;26,825161;23,019355;79,274194;2,5722;1,393966;-11.272334;-37.794973;205.59
2020-04-30;5,15625;190,2;31,033333;25,967333;22,56;83,483333;2,5722;1,451864;-11.272334;-37.794973;205.59
2020-05-31;6,123596;295,1;28,983871;24,674839;21,803226;87,564516;2,5722;1,316524;-11.272334;-37.794973;205.59
2020-06-30;6,041667;230;27,633333;23,63;20,77;87,566667;3,08664;1,537604;-11.272334;-37.794973;205.59
2020-07-31;5,597826;208,1;26,680645;22,564;19,841935;86,032258;3,08664;1,449283;-11.272334;-37.794973;205.59
2020-08-31;5,43956;95,5;27,27;22,582;19,458065;84,666667;7,7166;1,498586;-11.272334;-37.794973;205.59
2020-09-30;5,227273;59,4;28,456667;23,534667;19,86;81,225;7,20216;1,589048;-11.272334;-37.794973;205.59
2020-10-31;4,381868;84,5;31,486207;25,329286;21,183333;76,15;3,08664;1,940333;-11.272334;-37.794973;205.59
2020-11-30;5,667614;76,8;30,696667;25,366667;21,806667;79,341667;3,08664;1,853153;-11.272334;-37.794973;205.59
2020-12-31;4,435484;3,6;31,558065;25,755484;21,7;74,266129;3,08664;1,91947;-11.272334;-37.794973;205.59

