Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.73913;183.6;31.935484;26.002;22.729032;86.096774;2;.55914;-10.19166666;-54.9461111;272
2020-02-29;8.376471;447.4;31.140741;25.788889;22.862069;89.046296;3;.453488;-10.19166666;-54.9461111;272
2020-03-31;8.247312;458.6;31.564516;25.829032;22.822581;88.25;2;.397849;-10.19166666;-54.9461111;272
2020-04-30;6.931034;164.3;32.01;26.195333;23.003333;87.225;2;.266667;-10.19166666;-54.9461111;272
2020-05-31;5.570652;86.8;32.516129;26.300645;21.996774;80.58871;2.05776;.322232;-10.19166666;-54.9461111;272
2020-06-30;2.106742;0;34.21;26.321333;20.113333;67.733333;2.05776;.404616;-10.19166666;-54.9461111;272
2020-07-31;1.895161;0;35.029032;26.111613;18.558065;58.201613;2.05776;.320834;-10.19166666;-54.9461111;272
2020-08-31;2.002688;1.8;36.722581;27.522581;19.43871;54.564516;3.08664;.54799;-10.19166666;-54.9461111;272
2020-09-30;2.616667;19.6;37.38;28.449333;21.846667;57.175;3.08664;.534483;-10.19166666;-54.9461111;272
2020-10-31;5.689655;72.2;35.645161;27.657419;22.654839;73.354839;10.2888;.730173;-10.19166666;-54.9461111;272
2020-11-30;7.708333;102.1;33.727586;26.942759;22.923333;80.566667;2.05776;.34296;-10.19166666;-54.9461111;272
2020-12-31;7.8125;484.3;32.290323;25.724516;22.274194;87.096774;2.05776;.365086;-10.19166666;-54.9461111;272

