Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,056452;119,9;null;null;22,477419;null;null;null;-12.67527777;-39.08972221;219.69
2020-02-29;6,403509;28,7;null;null;23,125;null;null;null;-12.67527777;-39.08972221;219.69
2020-03-31;7,862903;116,6;null;null;22,709677;null;null;null;-12.67527777;-39.08972221;219.69
2020-04-30;7,6875;330,1;null;null;22,33;null;null;null;-12.67527777;-39.08972221;219.69
2020-05-31;8,689516;203,4;null;null;21,441935;null;null;null;-12.67527777;-39.08972221;219.69
2020-06-30;8;190,8;null;null;20,5;null;null;null;-12.67527777;-39.08972221;219.69
2020-07-31;7,298387;198,4;null;null;19,13871;null;null;null;-12.67527777;-39.08972221;219.69
2020-08-31;7,625;111,7;null;null;18,73;null;null;null;-12.67527777;-39.08972221;219.69
2020-09-30;7,395833;106,4;null;null;20,12;null;null;null;-12.67527777;-39.08972221;219.69
2020-10-31;6,512097;38,8;null;null;21,177419;null;null;null;-12.67527777;-39.08972221;219.69
2020-11-30;7,711864;80,6;null;null;21,53;null;null;null;-12.67527777;-39.08972221;219.69
2020-12-31;6,70082;6,1;null;null;21,586667;null;null;null;-12.67527777;-39.08972221;219.69

