Nome: PEIXE
Codigo Estacao: 83228
Latitude: -12.01527777
Longitude: -48.54499999
Altitude: 252.24
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,145833;437,9;32,664516;26,702581;23,193548;87,387097;4,11552;1,25291;-12.01527777;-48.54499999;252.24
2020-02-29;5,611702;257,1;32,760714;26,46;22,971429;88;2,5722;,77166;-12.01527777;-48.54499999;252.24
2020-03-31;null;null;null;null;null;null;null;null;-12.01527777;-48.54499999;252.24
2020-04-30;4,225;153,4;33,1;26,604;22,882759;86,740741;5,65884;1,074812;-12.01527777;-48.54499999;252.24
2020-05-31;3,340517;60,4;33,136667;26,328667;21,767742;79,7;5,65884;1,692674;-12.01527777;-48.54499999;252.24
2020-06-30;1,144068;0;33,317241;24,915862;19,416667;75,137931;6,68772;1,640886;-12.01527777;-48.54499999;252.24
2020-07-31;1,395833;0;33,74;24,030345;17,446667;66,5;6,17328;1,50045;-12.01527777;-48.54499999;252.24
2020-08-31;1,864754;0;35,766667;26,152414;18,79;55,8;7,20216;2,30233;-12.01527777;-48.54499999;252.24
2020-09-30;2,112069;0;37,955172;28,1984;20,469231;49,448276;6,17328;2,031602;-12.01527777;-48.54499999;252.24
2020-10-31;3,706897;118,9;36,93871;28,736;22,716667;65,064516;5,65884;1,717566;-12.01527777;-48.54499999;252.24
2020-11-30;5,825;110,3;34,086667;27,051852;22,777778;77,433333;5,1444;1,58619;-12.01527777;-48.54499999;252.24
2020-12-31;5,576923;154;33,803226;26,864444;22,551852;82,580645;4,11552;,979095;-12.01527777;-48.54499999;252.24

