Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4.852151;101.6;30.696774;27.289677;25;80.137097;null;null;-13.00583333;-38.50583333;47.35
2020-02-29;5;40.2;31.396552;27.871034;25.386207;78.12069;null;null;-13.00583333;-38.50583333;47.35
2020-03-31;6.491935;270.8;30.556667;27.375333;25.277419;83.658333;null;null;-13.00583333;-38.50583333;47.35
2020-04-30;5.833333;545.5;28.958621;26.510345;24.683333;86.275;null;null;-13.00583333;-38.50583333;47.35
2020-05-31;6.972222;454.2;27.76129;25.409655;23.893548;88.540323;null;null;-13.00583333;-38.50583333;47.35
2020-06-30;7.376543;213;27.836;25.0632;23.128571;85.62;null;null;-13.00583333;-38.50583333;47.35
2020-07-31;7.675;190;null;null;22.092;null;null;null;-13.00583333;-38.50583333;47.35
2020-08-31;5.806452;152.5;null;null;22.16129;null;null;null;-13.00583333;-38.50583333;47.35
2020-09-30;4.75;102.1;null;null;22.576667;null;null;null;-13.00583333;-38.50583333;47.35
2020-10-31;3.951613;64;null;null;23.929032;null;null;null;-13.00583333;-38.50583333;47.35
2020-11-30;5.4375;152.9;null;null;23.693333;null;null;null;-13.00583333;-38.50583333;47.35
2020-12-31;3.205645;32.5;null;null;24.083871;null;null;null;-13.00583333;-38.50583333;47.35

