Nome: TAGUATINGA
Codigo Estacao: 83235
Latitude: -12.40222222
Longitude: -46.43833333
Altitude: 604.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,591398;442,6;31,654839;25,887097;22,222581;76,814516;5,1444;,409339;-12.40222222;-46.43833333;604.88
2020-02-29;6,286765;230,3;31,634483;25,756552;22,127586;null;1,02888;,151306;-12.40222222;-46.43833333;604.88
2020-03-31;6,671875;313,5;31,266667;25,220714;22,010345;73,931818;3,08664;,745938;-12.40222222;-46.43833333;604.88
2020-04-30;5,135542;381,3;31,810714;25,68;21,696429;74,5625;6,17328;,842938;-12.40222222;-46.43833333;604.88
2020-05-31;3,967391;46,6;31,906667;25,506897;21,276667;66,540323;3,08664;,905862;-12.40222222;-46.43833333;604.88
2020-06-30;2,542135;0;31,464286;24,733077;20,207407;57,086207;3,08664;,853503;-12.40222222;-46.43833333;604.88
2020-07-31;1,747312;0;31,541935;24,543871;19,554839;47,620968;7,20216;1,40503;-12.40222222;-46.43833333;604.88
2020-08-31;2,513441;0;32,919355;26,048276;20,663333;42,604839;5,1444;1,559915;-12.40222222;-46.43833333;604.88
2020-09-30;2,178571;4;35,933333;28,303333;22,463333;null;6,17328;2,234139;-12.40222222;-46.43833333;604.88
2020-10-31;4,569892;146;35,935484;28,784;23,748387;52,491935;6,17328;1,308467;-12.40222222;-46.43833333;604.88
2020-11-30;5,680556;280;32,458621;26,176429;21,568966;68,533333;5,1444;1,291816;-12.40222222;-46.43833333;604.88
2020-12-31;5,733696;95,5;32,416667;26,606429;22,47;68,629032;3,08664;,626275;-12.40222222;-46.43833333;604.88

