Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.155843
Longitude: -45.008269
Altitude: 447.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,806452;288,9;31,790323;25,776129;21,36129;null;null;null;-12.155843;-45.008269;447.51
2020-02-29;5,75431;187,5;32,251724;25,642759;21,065517;null;null;null;-12.155843;-45.008269;447.51
2020-03-31;7,056452;271,8;30,616129;24,990968;21,612903;null;null;null;-12.155843;-45.008269;447.51
2020-04-30;5,666667;139,6;31,273333;25,286;20,866667;null;null;null;-12.155843;-45.008269;447.51
2020-05-31;4,770833;23,4;31,035714;24,397857;19,093548;null;null;null;-12.155843;-45.008269;447.51
2020-06-30;3,136364;0;31,288462;22,970769;16,376667;null;null;null;-12.155843;-45.008269;447.51
2020-07-31;2,478448;0;31,818519;22,304444;14,43871;null;null;null;-12.155843;-45.008269;447.51
2020-08-31;2,807018;0;33,269231;23,693846;15,977419;null;null;null;-12.155843;-45.008269;447.51
2020-09-30;2,181818;8,4;35,719231;26,4208;17,451724;null;null;null;-12.155843;-45.008269;447.51
2020-10-31;4,166667;58,1;36,273077;27,739231;20,08;null;null;null;-12.155843;-45.008269;447.51
2020-11-30;6,111111;218,4;31,62;25,1888;20,336667;null;null;null;-12.155843;-45.008269;447.51
2020-12-31;5,555556;163;33,303704;26,154815;20,118519;null;null;null;-12.155843;-45.008269;447.51

