Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,607527;267,4;31,887097;25,043226;18,819355;77,080645;5,1444;2,074355;-12.557854;-41.388808;438.09
2020-02-29;7,442529;38,3;32,358621;25,68;19,393103;76,025862;3,08664;1,702974;-12.557854;-41.388808;438.09
2020-03-31;8,763441;314,7;30,870968;24,465806;18,358065;83,282258;5,1444;2,019039;-12.557854;-41.388808;438.09
2020-04-30;8,607955;230,9;29,365517;23,704138;17,936667;84,672414;5,1444;1,864845;-12.557854;-41.388808;438.09
2020-05-31;8,696237;91,6;27,693548;22,544;17,454839;87,032258;5,1444;2,019039;-12.557854;-41.388808;438.09
2020-06-30;8,013889;87,3;26,55;21,167333;15,586667;88,158333;5,1444;1,983452;-12.557854;-41.388808;438.09
2020-07-31;7,594086;85,3;26,767742;20,521935;14,493548;86,129032;5,1444;2,096481;-12.557854;-41.388808;438.09
2020-08-31;8,198925;63,6;27,187097;20,893548;14,706452;83,112903;5,1444;2,030102;-12.557854;-41.388808;438.09
2020-09-30;7,694444;41,3;29,833333;22,182;15,146667;78,416667;5,1444;2,17208;-12.557854;-41.388808;438.09
2020-10-31;7,527778;123,7;32,706667;24,682759;17,06;71,958333;5,1444;2,189228;-12.557854;-41.388808;438.09
2020-11-30;8,469101;308,1;29,136667;23,160667;17,276667;85,116667;5,1444;1,890133;-12.557854;-41.388808;438.09
2020-12-31;6,25;6,3;31,283871;24,305333;17,653333;74,959677;3,08664;1,956003;-12.557854;-41.388808;438.09

