Nome: CANARANA
Codigo Estacao: 83270
Latitude: -13.47083332
Longitude: -52.2711111
Altitude: 430
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.637363;419.1;31.809677;25.555484;21.819355;87.533333;2.5;.188172;-13.47083332;-52.2711111;430
2020-02-29;7.616279;null;32.268966;25.483571;21.810345;86.419643;3;.195402;-13.47083332;-52.2711111;430
2020-03-31;6.885714;232.7;31.774194;25.513333;21.863333;87.266129;2;.086022;-13.47083332;-52.2711111;430
2020-04-30;5.487179;137;31.746667;25.412667;21.266667;83.983333;3;.127778;-13.47083332;-52.2711111;430
2020-05-31;4.055233;26;31.951613;24.085161;18.996774;77.379032;2.05776;.044253;-13.47083332;-52.2711111;430
2020-06-30;1.666667;0;33.426667;24.035333;17.133333;64.166667;2.05776;.068592;-13.47083332;-52.2711111;430
2020-07-31;1.69837;0;33.703226;24.167097;17.045161;53.443548;2.05776;.088506;-13.47083332;-52.2711111;430
2020-08-31;1.639785;0;35.706452;25.910968;17.990323;44.177419;5.1444;.608477;-13.47083332;-52.2711111;430
2020-09-30;3.065476;4.1;37.93;28.114667;20.57;42.683333;3.08664;.434416;-13.47083332;-52.2711111;430
2020-10-31;6.159639;303.9;36.106452;27.125161;21.725806;72.080645;4.11552;.448061;-13.47083332;-52.2711111;430
2020-11-30;6.398026;90.4;33.07;26.260667;21.786667;77.725;2.5722;.127165;-13.47083332;-52.2711111;430
2020-12-31;6.890244;234.7;32.68;25.683333;21.025806;84.091667;2.05776;.022367;-13.47083332;-52.2711111;430

