Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.251097
Longitude: -43.405365
Altitude: 447.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.739247;227.8;33.051613;27.610323;23.16129;69.258065;1.54332;.746768;-13.251097;-43.405365;447.75
2020-02-29;5.229885;77.4;32.268966;27.193793;23.065517;70.534483;2.05776;.658005;-13.251097;-43.405365;447.75
2020-03-31;6.532258;242.6;30.51;25.78069;22.380645;81.298387;2.05776;.630604;-13.251097;-43.405365;447.75
2020-04-30;4.236111;107.5;31.18;26.044667;22.036667;75.641667;2.5722;.76299;-13.251097;-43.405365;447.75
2020-05-31;3.75;66;30.532258;24.829333;20.090323;70.862903;2.5722;.779957;-13.251097;-43.405365;447.75
2020-06-30;2.666667;0;31.083333;24.246667;18.48;63.833333;3.08664;.94314;-13.251097;-43.405365;447.75
2020-07-31;2.620968;0;31.335484;24.182667;17.8;56.854839;2.05776;.99569;-13.251097;-43.405365;447.75
2020-08-31;2.217742;0;33.106452;25.946452;19.2;50.975806;3.60108;1.189297;-13.251097;-43.405365;447.75
2020-09-30;1.305556;4.7;35.826667;28.324667;21;47.216667;2.5722;1.080324;-13.251097;-43.405365;447.75
2020-10-31;4.904891;41;37.143333;29.474286;23.324138;54.966667;3.08664;1.006267;-13.251097;-43.405365;447.75
2020-11-30;6.16573;192.4;32.01;26.312;21.903333;70.383333;2.5722;.78033;-13.251097;-43.405365;447.75
2020-12-31;4.556452;10.5;34.283871;27.795484;22.183871;61.298387;2.05776;.691452;-13.251097;-43.405365;447.75

