Nome: ITUACU
Codigo Estacao: 83292
Latitude: -13.812876
Longitude: -41.299852
Altitude: 534.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.712366;228.5;31.474194;25.277419;19.270968;59.774194;5.1444;2.334341;-13.812876;-41.299852;534.44
2020-02-29;5.100575;10;32.431034;25.785517;18.762069;55.672414;5.1444;2.258806;-13.812876;-41.299852;534.44
2020-03-31;6.854839;249;30.56129;24.776129;18.367742;65.895161;5.1444;2.002444;-13.812876;-41.299852;534.44
2020-04-30;6.638889;166.7;30.8;25.106;18.413333;64.575;5.1444;2.012032;-13.812876;-41.299852;534.44
2020-05-31;7.204301;16.7;30.906452;24.958065;19.180645;61.096774;5.1444;2.245835;-13.812876;-41.299852;534.44
2020-06-30;6.638889;19;29.456667;22.947333;16.106667;62.75;5.1444;2.440732;-13.812876;-41.299852;534.44
2020-07-31;5.537634;2.1;31.309677;22.977419;15.187097;60.629032;5.1444;2.201582;-13.812876;-41.299852;534.44
2020-08-31;6.129032;0;31.716129;23.186452;15.448387;59.854839;5.1444;2.312214;-13.812876;-41.299852;534.44
2020-09-30;5.138889;0;31.566667;24.26;17.293333;55.525;5.1444;2.423584;-13.812876;-41.299852;534.44
2020-10-31;5.604839;87.1;32.124138;25.011852;18.05;57.95;5.1444;2.439441;-13.812876;-41.299852;534.44
2020-11-30;7.191011;211;29.68;23.498667;16.883333;64.133333;5.1444;2.624222;-13.812876;-41.299852;534.44
2020-12-31;3.454301;0;32.577419;25.415333;17.890323;51.83871;5.1444;2.754743;-13.812876;-41.299852;534.44

