Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
31/01/2020;6,4625;203,1;34,186207;27,417241;23,46129;86,206897;null;null;-14.40611111;-56.44694444;274.02
29/02/2020;6,693333;253,3;32,693103;26,709655;23,317241;87,043103;null;null;-14.40611111;-56.44694444;274.02
31/03/2020;5,094595;112,6;34,0625;27,15913;22,835484;81,380435;null;null;-14.40611111;-56.44694444;274.02
30/04/2020;4,507042;30,4;34,573333;26,746;22,133333;79,808333;null;null;-14.40611111;-56.44694444;274.02
31/05/2020;4,444444;92,5;31,490323;23,31871;18,258065;80,532258;null;null;-14.40611111;-56.44694444;274.02
30/06/2020;3,141447;null;34,783333;24,663333;18,023333;66,316667;null;null;-14.40611111;-56.44694444;274.02
31/07/2020;1,948052;null;34,945161;24,343333;17,9;66,346774;null;null;-14.40611111;-56.44694444;274.02
31/08/2020;1,9375;null;36,622581;26,043226;19,419355;57,790323;null;null;-14.40611111;-56.44694444;274.02
30/09/2020;2,662338;null;38,946667;28,956552;21,883333;54,95;null;null;-14.40611111;-56.44694444;274.02
31/10/2020;5,464744;117,7;37,164516;28,933548;23,896774;68,846774;null;null;-14.40611111;-56.44694444;274.02
30/11/2020;5,941781;141,8;35,843333;28,004828;23,017241;73,85;null;null;-14.40611111;-56.44694444;274.02
31/12/2020;7,11039;310,4;33,848387;27,224516;23,232258;80,637097;null;null;-14.40611111;-56.44694444;274.02
