Nome: NOVA XAV.(XAVANTINA)
Codigo Estacao: 83319
Latitude: -14.697917
Longitude: -52.350226
Altitude: 305.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,782609;291,2;null;null;22,796774;85,766129;4,9;,523656;-14.697917;-52.350226;305.33
2020-02-29;7,360465;376,5;null;null;22,637931;86,017241;4,9;,763218;-14.697917;-52.350226;305.33
2020-03-31;7,467391;162,3;null;null;22,419355;87,193548;4,9;,774194;-14.697917;-52.350226;305.33
2020-04-30;5,348315;86,4;null;null;21,516667;84,875;4,3;,476404;-14.697917;-52.350226;305.33
2020-05-31;3,383152;26,8;null;null;17,158065;81,612903;4,62996;,663794;-14.697917;-52.350226;305.33
2020-06-30;2,013889;0;null;null;15,273333;77,95;4,62996;,805956;-14.697917;-52.350226;305.33
2020-07-31;2,05163;0;null;null;14,283871;74,185484;4,62996;,760477;-14.697917;-52.350226;305.33
2020-08-31;1,607143;0;null;null;15,623333;73,875;6,17328;1,328499;-14.697917;-52.350226;305.33
2020-09-30;2,893258;1;null;null;17,868966;57,266667;4,11552;1,323671;-14.697917;-52.350226;305.33
2020-10-31;5,502717;107,3;null;null;21,580645;66,916667;4,11552;,836672;-14.697917;-52.350226;305.33
2020-11-30;5,912921;131,7;null;null;21,786667;80,083333;4,11552;,823104;-14.697917;-52.350226;305.33
2020-12-31;7,432065;142,8;null;null;22,035484;83,3;4,11552;,593585;-14.697917;-52.350226;305.33

