Nome: POSSE
Codigo Estacao: 83332
Latitude: -14.08907
Longitude: -46.36653
Altitude: 830.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,19086;215,9;29,619355;24,872258;21,03871;74,66129;1,54332;,68592;-14.08907;-46.36653;830.35
2020-02-29;6,508621;177,6;29,668966;24,582069;20,655172;77,913793;2,5722;,502614;-14.08907;-46.36653;830.35
2020-03-31;7,640449;216,7;28,668966;23,789167;20,525926;79,133929;2,5722;,631358;-14.08907;-46.36653;830.35
2020-04-30;6,474719;188,2;29,455172;24,117143;19,993103;77,603448;3,08664;,561207;-14.08907;-46.36653;830.35
2020-05-31;4,252874;25;28,66;23,033077;18,414286;68,533333;2,05776;,658005;-14.08907;-46.36653;830.35
2020-06-30;2,772989;0;29,05;22,915714;17,632143;59,933333;2,05776;,886966;-14.08907;-46.36653;830.35
2020-07-31;2,02957;0;29,025806;22,494194;16,948387;59,08871;3,08664;1,045655;-14.08907;-46.36653;830.35
2020-08-31;2,352151;0;30,364516;23,862581;17,803226;47,540323;3,08664;,961779;-14.08907;-46.36653;830.35
2020-09-30;2,555556;0;33;26,664667;20,42;41,908333;2,5722;1,121364;-14.08907;-46.36653;830.35
2020-10-31;6,048387;98,8;32,37;26,770345;21,677419;56,758065;3,08664;,939412;-14.08907;-46.36653;830.35
2020-11-30;6,805556;179;30,603448;24,805;20,08;68,725;2,5722;,903128;-14.08907;-46.36653;830.35
2020-12-31;6,948925;238,7;31,009677;25,680645;21;67,540323;2,05776;,818679;-14.08907;-46.36653;830.35

