Nome: FORMOSO
Codigo Estacao: 83334
Latitude: -14.949727
Longitude: -46.235795
Altitude: 854.6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,301075;186,4;null;null;20,141935;71,854839;4;1,645161;-14.949727;-46.235795;854.6
2020-02-29;7,45977;206,6;null;null;20,006897;74,931034;3;,850575;-14.949727;-46.235795;854.6
2020-03-31;7,88172;427;null;null;19,929032;79,879032;4;1,193548;-14.949727;-46.235795;854.6
2020-04-30;6,411111;155,8;null;null;19,36;74,983333;3;1,122543;-14.949727;-46.235795;854.6
2020-05-31;5,021505;3,6;null;null;16,877419;66,612903;3;1,55914;-14.949727;-46.235795;854.6
2020-06-30;3,244444;0;null;null;15,28;58,158333;4;1,688889;-14.949727;-46.235795;854.6
2020-07-31;2,677419;0;null;null;14,445161;50,612903;4;1,645161;-14.949727;-46.235795;854.6
2020-08-31;3,064516;0;null;null;15,541935;46,379032;4;1,774194;-14.949727;-46.235795;854.6
2020-09-30;null;null;null;null;null;null;null;null;-14.949727;-46.235795;854.6
2020-10-31;6,01087;121,4;null;null;20,270968;54,927419;4;1,608696;-14.949727;-46.235795;854.6
2020-11-30;7,155556;190,3;null;null;19,686667;67,483333;3;1,344444;-14.949727;-46.235795;854.6
2020-12-31;6,526882;163,2;null;null;19,612903;65,217742;4;1,150538;-14.949727;-46.235795;854.6

