Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,344086;135,9;29,196774;23,165161;18,880645;78,080645;null;null;-14.88638888;-40.80138888;879.47
2020-02-29;5,991379;25,8;29,989655;23,451724;18,696552;78,818966;null;null;-14.88638888;-40.80138888;879.47
2020-03-31;7,8125;null;27,572727;22,518182;19,013043;85,465909;null;null;-14.88638888;-40.80138888;879.47
2020-04-30;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-05-31;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-06-30;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-07-31;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-08-31;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-09-30;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-10-31;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-11-30;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47
2020-12-31;null;null;null;null;null;null;null;null;-14.88638888;-40.80138888;879.47

