Nome: POXOREO
Codigo Estacao: 83358
Latitude: -15.82749999
Longitude: -54.39555555
Altitude: 374.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,727273;300,1;35,973077;null;null;77,803571;4;1,01413;-15.82749999;-54.39555555;374.35
2020-02-29;8,305882;248;34,768966;null;null;83,875;3;,847059;-15.82749999;-54.39555555;374.35
2020-03-31;6,83871;132,2;35,841935;null;null;73,266129;3;1,010753;-15.82749999;-54.39555555;374.35
2020-04-30;5,179775;145,9;35,05;null;null;74,825;3;,788889;-15.82749999;-54.39555555;374.35
2020-05-31;5,611413;112;32,606667;null;null;73,701613;3,08664;,749293;-15.82749999;-54.39555555;374.35
2020-06-30;3,222222;0;34,456667;null;null;65,65;3,08664;,811672;-15.82749999;-54.39555555;374.35
2020-07-31;1,521739;0;35,477419;null;null;56,693548;3,08664;,849944;-15.82749999;-54.39555555;374.35
2020-08-31;2,758152;0;36,92;null;null;50,854839;3,08664;1,040063;-15.82749999;-54.39555555;374.35
2020-09-30;4,005682;44,2;40,213333;null;null;49,066667;3,08664;,818427;-15.82749999;-54.39555555;374.35
2020-10-31;6,572581;121,2;38,419355;null;null;63,241935;3,08664;1,056538;-15.82749999;-54.39555555;374.35
2020-11-30;7,75;81,4;36,663333;null;null;70,041667;3,08664;,948856;-15.82749999;-54.39555555;374.35
2020-12-31;8,57337;341,2;35,303226;null;null;78,758065;3,08664;,715743;-15.82749999;-54.39555555;374.35

