Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.068182;156.5;35.093333;29.22;24.96;81.933333;null;null;-15.61999999;-56.10888888;157.7
2020-02-29;7;null;33.306897;27.663704;24.241379;87.598214;null;null;-15.61999999;-56.10888888;157.7
2020-03-31;4.315217;84.8;35.309677;28.692903;23.951613;81.137097;null;null;-15.61999999;-56.10888888;157.7
2020-04-30;3.488095;65.8;34.17;27.444828;22.634483;75.758333;null;null;-15.61999999;-56.10888888;157.7
2020-05-31;2.66369;68.2;31.793333;24.351333;18.793548;71.75;null;null;-15.61999999;-56.10888888;157.7
2020-06-30;1.602941;0;33.789655;25.276667;19.156667;64.516667;null;null;-15.61999999;-56.10888888;157.7
2020-07-31;1.112637;0;34.66129;25.358;17.416667;52.814516;null;null;-15.61999999;-56.10888888;157.7
2020-08-31;1.189759;0;36.72069;28.082222;19.527586;42.706897;null;null;-15.61999999;-56.10888888;157.7
2020-09-30;2.195122;6.8;38.476667;30.28069;23.141379;43.5;null;null;-15.61999999;-56.10888888;157.7
2020-10-31;5.466667;165.4;38.122581;30.665161;25.419355;54.354839;null;null;-15.61999999;-56.10888888;157.7
2020-11-30;4.53869;95.1;36.886207;29.610345;24.453333;58.137931;null;null;-15.61999999;-56.10888888;157.7
2020-12-31;5.625;102.9;35.513333;29.082;24.590323;66.616667;null;null;-15.61999999;-56.10888888;157.7

