Nome: SAO VICENTE
Codigo Estacao: 83363
Latitude: -15.82305554
Longitude: -55.41888888
Altitude: 786.99
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,014706;389,2;null;null;null;88,689655;1,54332;,560682;-15.82305554;-55.41888888;786.99
2020-02-29;8,139881;367;null;null;null;90,196429;1,02888;,520422;-15.82305554;-55.41888888;786.99
2020-03-31;null;null;null;null;null;77,411765;1,02888;null;-15.82305554;-55.41888888;786.99
2020-04-30;null;null;null;null;null;77,955882;1,02888;null;-15.82305554;-55.41888888;786.99
2020-05-31;4,507042;48;null;null;null;77,391667;1,02888;,297232;-15.82305554;-55.41888888;786.99
2020-06-30;3,586066;0;null;null;null;73,083333;1,02888;,440132;-15.82305554;-55.41888888;786.99
2020-07-31;2,797619;0;null;null;null;70,129032;1,54332;,39007;-15.82305554;-55.41888888;786.99
2020-08-31;3,528226;0;null;null;null;67,346774;1,02888;,475719;-15.82305554;-55.41888888;786.99
2020-09-30;3,178571;0;null;null;null;61,827586;1,02888;,384115;-15.82305554;-55.41888888;786.99
2020-10-31;6,133721;162;null;null;null;68,466667;1,02888;,497573;-15.82305554;-55.41888888;786.99
2020-11-30;6,083333;26;32,22;null;null;66,633333;1,02888;,497001;-15.82305554;-55.41888888;786.99
2020-12-31;7,473958;349;30,577419;null;null;80,645161;1,02888;,539332;-15.82305554;-55.41888888;786.99

