Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.776
Longitude: -56.072
Altitude: 140
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.289773;125.7;34.389286;28.314815;24.187097;78;2;.532747;-15.776;-56.072;140
2020-02-29;8.08046;366.8;32.731034;27.210345;24.041379;85.094828;4.3;.505814;-15.776;-56.072;140
2020-03-31;5.945652;120.1;34.436667;27.620667;23.1;79.783333;4.9;.450538;-15.776;-56.072;140
2020-04-30;5.644444;36.5;33.54;26.440667;21.373333;78.325;1.6;.364444;-15.776;-56.072;140
2020-05-31;4.833333;59.5;30.46129;22.789677;17.041935;79.733871;1.54332;.440132;-15.776;-56.072;140
2020-06-30;3.958333;0;32.834483;24.053333;17.21;72.866667;1.54332;.577316;-15.776;-56.072;140
2020-07-31;2.17033;0;33.912903;23.551333;15.363333;61.870968;2.05776;.599238;-15.776;-56.072;140
2020-08-31;2.782258;0;36.216129;25.912903;17.035484;50.080645;2.5722;.704559;-15.776;-56.072;140
2020-09-30;2.286932;0;38.993333;29.026;20.596667;48.233333;3.08664;.65734;-15.776;-56.072;140
2020-10-31;5.480769;108.3;38.2;29.69871;23.019355;60.072581;3.08664;.829742;-15.776;-56.072;140
2020-11-30;5.944444;56.8;36.46;28.532;21.92;64.825;1.54332;.720216;-15.776;-56.072;140
2020-12-31;7.527174;132.3;34.741935;28.047097;22.809677;73;2.05776;.73811;-15.776;-56.072;140

