Nome: ARAGARCAS
Codigo Estacao: 83368
Latitude: -15.9025
Longitude: -52.24527777
Altitude: 327.03
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.801075;239.9;33.170968;27.017419;20.916129;77.822581;2.05776;.564225;-15.9025;-52.24527777;327.03
2020-02-29;6.767241;303.6;32.337931;26.318621;20.758621;79.353448;1.02888;.496701;-15.9025;-52.24527777;327.03
2020-03-31;5.561798;115.6;32.866667;26.632414;20.603333;77.891667;1.02888;.658946;-15.9025;-52.24527777;327.03
2020-04-30;4.662921;115.4;33.224138;26.831034;20.05;73.181034;1.02888;.543341;-15.9025;-52.24527777;327.03
2020-05-31;3.5;.2;31.851852;24.234074;15.751724;69.830357;1.02888;.387343;-15.9025;-52.24527777;327.03
2020-06-30;2.905844;0;33.338462;24.657692;14.662963;61.730769;1.02888;.440949;-15.9025;-52.24527777;327.03
2020-07-31;1.6875;0;33.923077;24.7475;13.904;53.673077;1.02888;.450135;-15.9025;-52.24527777;327.03
2020-08-31;1.334459;0;35.870833;27.026;15.5;42.46875;1.02888;.583959;-15.9025;-52.24527777;327.03
2020-09-30;2.516026;13;38.476923;29.616667;18.175;38.375;1.02888;.646348;-15.9025;-52.24527777;327.03
2020-10-31;5.144231;133.2;36.780769;29.091538;20.671429;55.314815;1.02888;.564629;-15.9025;-52.24527777;327.03
2020-11-30;5.193662;null;34.9;28.56;20.404348;56.673913;1.02888;.74308;-15.9025;-52.24527777;327.03
2020-12-31;6.890244;299;33.055556;27.105455;20.459259;73.046296;2.05776;.619807;-15.9025;-52.24527777;327.03

