Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.360215;352.4;30.435484;24.38129;20.593548;82.330645;6.17328;2.05776;-15.85472222;-48.96611111;766.92
2020-02-29;8.491379;225.7;30.596552;24.293793;20.386207;80.698276;4.11552;1.880367;-15.85472222;-48.96611111;766.92
2020-03-31;7.951807;259.9;30.671429;24.287692;19.851852;79.446429;6.17328;1.970987;-15.85472222;-48.96611111;766.92
2020-04-30;6.625;173;30.74;23.78;19.551724;77.025;5.1444;2.160648;-15.85472222;-48.96611111;766.92
2020-05-31;5.94086;137.3;29.722581;21.614194;16.577419;74.532258;7.20216;2.102013;-15.85472222;-48.96611111;766.92
2020-06-30;4.472222;0;30.593333;20.970667;14.41;63.841667;7.20216;2.303548;-15.85472222;-48.96611111;766.92
2020-07-31;2.768987;0;30.757692;21.13;14.118519;53.288462;6.17328;2.487545;-15.85472222;-48.96611111;766.92
2020-08-31;3.198925;0;32.716129;23.105714;15.954839;43.959677;7.20216;2.998134;-15.85472222;-48.96611111;766.92
2020-09-30;3.625;22.2;35.016667;25.94;18.13;38.966667;6.17328;2.762947;-15.85472222;-48.96611111;766.92
2020-10-31;6.639785;158;33.636667;25.906;20.08;59.314516;7.20216;2.754743;-15.85472222;-48.96611111;766.92
2020-11-30;7.152778;133.7;31.786667;24.699333;19.503333;68.925;6.17328;2.393013;-15.85472222;-48.96611111;766.92
2020-12-31;8.077957;201.8;31.754839;24.674;19.654839;73.104839;4.11552;2.085719;-15.85472222;-48.96611111;766.92

