Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.024457;283.4;27.651613;22.555484;19.125806;76.774194;8.23104;2.684035;-15.78972221;-47.92583332;1161.42
2020-02-29;7.514368;168.7;27.275862;22.070345;18.710345;79.810345;7.20216;1.702974;-15.78972221;-47.92583332;1161.42
2020-03-31;7.110215;262.8;26.97;21.908;18.674194;78.693548;6.17328;1.996912;-15.78972221;-47.92583332;1161.42
2020-04-30;6.222222;159.8;26.676667;21.443333;18.056667;77.85;5.1444;1.806256;-15.78972221;-47.92583332;1161.42
2020-05-31;4.502688;26.9;25.548387;19.407097;14.483871;70.66129;5.1444;1.537788;-15.78972221;-47.92583332;1161.42
2020-06-30;2.708333;.3;25.583333;19.320667;13.84;62.383333;6.17328;2.252104;-15.78972221;-47.92583332;1161.42
2020-07-31;1.565934;0;25.753333;19.28;13.433333;52.366667;10.80324;2.119945;-15.78972221;-47.92583332;1161.42
2020-08-31;2.763889;0;27.17931;20.805714;14.453333;45.675;8.74548;2.346073;-15.78972221;-47.92583332;1161.42
2020-09-30;1.996269;null;29.836364;23.364545;17.286957;38.329545;6.17328;2.334176;-15.78972221;-47.92583332;1161.42
2020-10-31;5.981183;147.2;29.690323;23.794667;19.196667;59.66129;9.77436;2.19605;-15.78972221;-47.92583332;1161.42
2020-11-30;6.625;196.8;27.163333;21.876667;18.116667;72.25;8.23104;1.897712;-15.78972221;-47.92583332;1161.42
2020-12-31;6.397849;133.9;28.412903;22.802581;18.629032;69.120968;10.2888;2.157329;-15.78972221;-47.92583332;1161.42

