Nome: FORMOSA
Codigo Estacao: 83379
Latitude: -15.54916666
Longitude: -47.33888888
Altitude: 938.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.580645;273.3;28.890323;23.943871;20.577419;76.879032;2.5722;.840805;-15.54916666;-47.33888888;938.68
2020-02-29;7.543103;220.8;28.882759;23.6;20.137931;77.612069;3.60108;.827834;-15.54916666;-47.33888888;938.68
2020-03-31;7.553763;283.8;27.937931;23.101429;20.051613;79.591667;2.5722;.840805;-15.54916666;-47.33888888;938.68
2020-04-30;6.797753;125.2;27.93;22.991333;19.54;76.033333;3.08664;.919056;-15.54916666;-47.33888888;938.68
2020-05-31;5.095109;57;26.758065;21.006;16.57;70.145161;2.5722;.794027;-15.54916666;-47.33888888;938.68
2020-06-30;3.80618;0;26.873333;20.816;15.51;61.166667;3.60108;.988418;-15.54916666;-47.33888888;938.68
2020-07-31;3.373656;0;27.116667;20.883333;15.077419;50.459677;4.62996;.917045;-15.54916666;-47.33888888;938.68
2020-08-31;3.064516;0;28.403226;21.891613;15.770968;47.129032;6.17328;1.174265;-15.54916666;-47.33888888;938.68
2020-09-30;2.819444;8;31.51;25.025517;18.97931;38.225;4.11552;1.251804;-15.54916666;-47.33888888;938.68
2020-10-31;6.086957;134;31.193548;25.294667;20.466667;58.782258;4.11552;.797099;-15.54916666;-47.33888888;938.68
2020-11-30;7.556818;129;28.317241;23.340714;19.526667;71.25;3.08664;.774617;-15.54916666;-47.33888888;938.68
2020-12-31;7.019231;268.8;29.016129;23.937419;19.712903;69.725806;4.11552;.580819;-15.54916666;-47.33888888;938.68

