Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.91527777
Longitude: -46.10722222
Altitude: 523
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.537634;195.2;32.467742;26.7;22.006452;70.629032;3.1;.5;-15.91527777;-46.10722222;523
2020-02-29;6.091954;153;32.210345;26.054483;21.834483;75.387931;2.1;.535632;-15.91527777;-46.10722222;523
2020-03-31;6.27957;296.1;30.609677;25.18;21.529032;78.943548;2.1;.453763;-15.91527777;-46.10722222;523
2020-04-30;5.416667;319.7;30.7;24.870667;20.86;78.841667;2.05776;.548736;-15.91527777;-46.10722222;523
2020-05-31;null;null;null;null;null;null;null;null;-15.91527777;-46.10722222;523
2020-06-30;2.611111;0;29.96;21.792;15.426667;69.433333;2.05776;.508724;-15.91527777;-46.10722222;523
2020-07-31;2.680108;0;30.725806;21.890968;14.916129;59.419355;1.54332;.464114;-15.91527777;-46.10722222;523
2020-08-31;2.755376;0;31.93871;23.5;16.167742;49.314516;2.5722;.6034;-15.91527777;-46.10722222;523
2020-09-30;2.516667;4.8;35.613333;26.685333;18.8;40.133333;2.05776;.537304;-15.91527777;-46.10722222;523
2020-10-31;5.663978;136.5;35.119355;27.573333;21.786667;58.935484;2.05776;.464655;-15.91527777;-46.10722222;523
2020-11-30;null;null;null;null;null;null;null;null;-15.91527777;-46.10722222;523
2020-12-31;5.833333;198.1;33.13871;26.463871;21.283871;69.112903;2.05776;.436997;-15.91527777;-46.10722222;523

