Nome: JANUARIA
Codigo Estacao: 83386
Latitude: -15.448054
Longitude: -44.366321
Altitude: 480
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,408602;325,5;31,654839;25,701935;21,3;76,266129;5,8;1,694624;-15.448054;-44.366321;480
2020-02-29;5,563218;152,9;31,806897;25,683448;21,127586;78,327586;4,6;1,473563;-15.448054;-44.366321;480
2020-03-31;6,655914;263;29,758065;24,464;20,8;84,766129;4,6;1,406452;-15.448054;-44.366321;480
2020-04-30;4,102778;15,2;30,536667;24,138;19,27;79,491667;3,8;1,477148;-15.448054;-44.366321;480
2020-05-31;null;null;null;null;null;null;null;null;-15.448054;-44.366321;480
2020-06-30;2,638889;0;30,473333;21,383333;14,08;65,041667;5,1444;1,600159;-15.448054;-44.366321;480
2020-07-31;2,150538;0;30,393548;21,045161;13,074194;57,790323;6,17328;1,803306;-15.448054;-44.366321;480
2020-08-31;2,123656;0;32,103226;23,244516;15,412903;50,032258;6,68772;2,517028;-15.448054;-44.366321;480
2020-09-30;1,430556;0;35,32;25,552667;17,646667;41,45;5,65884;2,588706;-15.448054;-44.366321;480
2020-10-31;4,623656;104,5;35,248387;27,408667;21,253333;54,556452;6,17328;2,306683;-15.448054;-44.366321;480
2020-11-30;null;null;null;null;null;null;null;null;-15.448054;-44.366321;480
2020-12-31;4,5;70,1;32,516129;25,055484;19,380645;72,967742;4,62996;1,781024;-15.448054;-44.366321;480

