Nome: PEDRA AZUL
Codigo Estacao: 83393
Latitude: -16.00956
Longitude: -41.281027
Altitude: 647.97
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,235294;105,3;null;null;21,292857;null;2,5;,705882;-16.00956;-41.281027;647.97
2020-02-29;5,908046;32,7;null;null;21,417241;68,060345;2,6;,858621;-16.00956;-41.281027;647.97
2020-03-31;7,870968;231,2;null;null;20,574194;78,112903;2,1;,770968;-16.00956;-41.281027;647.97
2020-04-30;7,333333;99,9;null;null;19,753333;78,108333;2,5722;,7145;-16.00956;-41.281027;647.97
2020-05-31;null;null;null;null;null;null;null;null;-16.00956;-41.281027;647.97
2020-06-30;6,138889;14,1;null;null;15,653333;79,175;3,08664;,925511;-16.00956;-41.281027;647.97
2020-07-31;4,980337;4,7;null;null;14,875862;74,405172;2,5722;1,005168;-16.00956;-41.281027;647.97
2020-08-31;6,347826;15;null;null;15,819355;71,354839;5,1444;1,293932;-16.00956;-41.281027;647.97
2020-09-30;3,763889;1;null;null;17,393333;57,808333;3,08664;1,274187;-16.00956;-41.281027;647.97
2020-10-31;5,913978;132,2;null;null;20;63,016129;2,5722;1,034472;-16.00956;-41.281027;647.97
2020-11-30;null;null;null;null;null;null;null;null;-16.00956;-41.281027;647.97
2020-12-31;4,793956;4;null;null;20,386667;65,658333;2,05776;,808406;-16.00956;-41.281027;647.97

