Nome: CARINHANHA
Codigo Estacao: 83408
Latitude: -14.29749999
Longitude: -43.77138888
Altitude: 455.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.684426;411.8;31.68;26.42;22.193548;null;4.11552;1.905958;-14.29749999;-43.77138888;455.25
2020-02-29;7.276786;37.2;31.817857;26.673846;22.646429;null;3.08664;1.524947;-14.29749999;-43.77138888;455.25
2020-03-31;8.804348;null;30.568182;25.487273;22.595652;null;3.60108;1.711072;-14.29749999;-43.77138888;455.25
2020-04-30;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-05-31;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-06-30;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-07-31;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-08-31;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-09-30;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-10-31;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-11-30;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25
2020-12-31;null;null;null;null;null;null;null;null;-14.29749999;-43.77138888;455.25

