Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.642473;329.8;31.345161;25.38;20.916129;73.677419;3.60108;1.133981;-16.67305554;-49.26388888;748.53
2020-02-29;8.649425;327.4;30.796429;24.82;20.657143;75.586207;3.08664;1.02888;-16.67305554;-49.26388888;748.53
2020-03-31;7.649457;133.2;31.393103;25.311429;20.743333;70.1;2.5722;1.005759;-16.67305554;-49.26388888;748.53
2020-04-30;6.236111;160.6;30.656667;24.762759;20.073333;67.933333;3.60108;.988868;-16.67305554;-49.26388888;748.53
2020-05-31;4.677419;21;29.306452;22.418065;16.319355;60.725806;2.5722;1.012285;-16.67305554;-49.26388888;748.53
2020-06-30;4.194444;0;30.506667;22.802667;16.03;52.825;3.60108;1.081493;-16.67305554;-49.26388888;748.53
2020-07-31;3.125;0;31.241935;23.249677;15.819355;45.032258;2.5722;.917045;-16.67305554;-49.26388888;748.53
2020-08-31;2.567935;0;32.435714;24.395;17.067742;39.290323;8.23104;1.431485;-16.67305554;-49.26388888;748.53
2020-09-30;3.319444;2;35.589655;28.308889;20.283333;31.516667;3.08664;1.329452;-16.67305554;-49.26388888;748.53
2020-10-31;6.589674;126.3;34.758065;27.066207;21.153333;55.217742;3.60108;1.133981;-16.67305554;-49.26388888;748.53
2020-11-30;6.458333;138.4;32.243333;25.94069;20.383333;58.658333;4.11552;1.22894;-16.67305554;-49.26388888;748.53
2020-12-31;8.077957;238.2;31.387097;25.882;20.990323;66.153226;3.08664;1.000921;-16.67305554;-49.26388888;748.53

