Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.366268
Longitude: -46.889321
Altitude: 595.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,580645;364,9;32,490323;25,243871;16,258065;74,048387;5;1,870968;-16.366268;-46.889321;595.59
2020-02-29;7,045977;242,5;32,089655;24,721818;15,909091;76,603448;4;1,367816;-16.366268;-46.889321;595.59
2020-03-31;6,709677;342;30,890323;null;null;77,330645;4;1,580645;-16.366268;-46.889321;595.59
2020-04-30;6,888889;164,2;30,546667;null;null;76,8;2,05776;1,1432;-16.366268;-46.889321;595.59
2020-05-31;null;null;null;null;null;null;null;null;-16.366268;-46.889321;595.59
2020-06-30;3,361111;0;29,806667;null;null;66,941667;4,11552;1,291495;-16.366268;-46.889321;595.59
2020-07-31;2,66129;0;30,522581;null;null;58,451613;4,11552;1,475905;-16.366268;-46.889321;595.59
2020-08-31;3,182796;0;31,554839;null;null;50,532258;6,17328;1,972942;-16.366268;-46.889321;595.59
2020-09-30;2,638889;4,7;35,42;null;null;42,983333;5,1444;1,863095;-16.366268;-46.889321;595.59
2020-10-31;6,231183;112,4;34,974194;null;null;59,104839;5,1444;1,637047;-16.366268;-46.889321;595.59
2020-11-30;null;null;null;null;null;null;null;null;-16.366268;-46.889321;595.59
2020-12-31;6,935484;214,4;33,135484;null;null;69,016129;3;1,075269;-16.366268;-46.889321;595.59

