Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.924731;327.8;30.025806;25.178065;20.890323;74.435484;null;null;-16.68638888;-43.84388888;645.87
2020-02-29;5.697674;70;30.658621;25.397931;21.258621;73.724138;null;null;-16.68638888;-43.84388888;645.87
2020-03-31;7.354839;218.6;28.493548;23.836667;20.583871;80.177419;null;null;-16.68638888;-43.84388888;645.87
2020-04-30;5.25;27.2;29.343333;23.742;19.64;73.916667;null;null;-16.68638888;-43.84388888;645.87
2020-05-31;null;null;null;null;null;null;null;null;-16.68638888;-43.84388888;645.87
2020-06-30;2.472222;.8;27.996667;20.993793;15.14;63.608333;null;null;-16.68638888;-43.84388888;645.87
2020-07-31;2.728495;0;28.441935;21.036129;14.467742;57.741935;null;null;-16.68638888;-43.84388888;645.87
2020-08-31;3.268817;0;29.064516;22.172258;16.058065;53.314516;null;null;-16.68638888;-43.84388888;645.87
2020-09-30;1.830556;1.9;33.176667;25.51;18.183333;43.333333;null;null;-16.68638888;-43.84388888;645.87
2020-10-31;5.725806;168.8;33;26.282;21.33;59.169355;null;null;-16.68638888;-43.84388888;645.87
2020-11-30;null;null;null;null;null;null;null;null;-16.68638888;-43.84388888;645.87
2020-12-31;5.663043;92.2;31.080645;24.830323;19.780645;69.491935;null;null;-16.68638888;-43.84388888;645.87

