Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.551075;135.3;33.680645;27.230968;21.922581;63.016129;4.8;1.582652;-16.154862;-42.284921;476.07
2020-02-29;6.931034;167.3;33.8;26.675172;21.606897;67.991379;3.5;1.316092;-16.154862;-42.284921;476.07
2020-03-31;7.849462;368.7;29.325806;24.402667;21.180645;80.806452;3.1;1.073118;-16.154862;-42.284921;476.07
2020-04-30;7.097222;65.6;29.22;23.928667;20.183333;77.116667;3.60108;1.1432;-16.154862;-42.284921;476.07
2020-05-31;null;null;null;null;null;null;null;null;-16.154862;-42.284921;476.07
2020-06-30;5.388889;2.6;28.096667;20.686;15.16;73.05;4.11552;1.125731;-16.154862;-42.284921;476.07
2020-07-31;3.924731;4.5;28.251613;20.84;14.258065;64.5;3.60108;.82421;-16.154862;-42.284921;476.07
2020-08-31;5.497312;2.4;28.870968;22.306452;16.335484;57.532258;4.11552;1.365998;-16.154862;-42.284921;476.07
2020-09-30;3.236111;.7;33.403333;25.777333;18.143333;43.533333;5.1444;1.946452;-16.154862;-42.284921;476.07
2020-10-31;6.532258;87.3;34.187097;27.212667;21.806667;54.193548;5.1444;1.946041;-16.154862;-42.284921;476.07
2020-11-30;null;null;null;null;null;null;null;null;-16.154862;-42.284921;476.07
2020-12-31;5.819892;78.9;32.506452;25.287097;19.719355;67.137097;3.60108;1.399188;-16.154862;-42.284921;476.07

