Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,870968;258,7;34,3;27,915484;23,5;67,532258;1;,365591;-16.84888888;-42.06083333;317.67
2020-02-29;5,689655;46;35,548276;28,249655;23,431034;65;1;,195402;-16.84888888;-42.06083333;317.67
2020-03-31;7,483871;160,8;30,509677;25,382667;22,103226;79,967742;1;,075269;-16.84888888;-42.06083333;317.67
2020-04-30;6,416667;14,2;30,46;24,67;20,943333;77,808333;2,05776;,068592;-16.84888888;-42.06083333;317.67
2020-05-31;null;null;null;null;null;null;null;null;-16.84888888;-42.06083333;317.67
2020-06-30;4,155556;4,6;29,226667;22,131333;16,583333;69,516667;2,05776;,240072;-16.84888888;-42.06083333;317.67
2020-07-31;4,018817;2;29,606452;22,138065;16,296774;65,169355;2,05776;,243391;-16.84888888;-42.06083333;317.67
2020-08-31;5,336022;5,8;29,964516;22,996667;17,83;60,217742;2,05776;,497845;-16.84888888;-42.06083333;317.67
2020-09-30;2,65;0;34,95;26,768;20,193333;47,508333;2,05776;,594464;-16.84888888;-42.06083333;317.67
2020-10-31;6,155914;65,6;35,209677;27,863333;22,94;56,951613;2,05776;,431466;-16.84888888;-42.06083333;317.67
2020-11-30;null;null;null;null;null;null;null;null;-16.84888888;-42.06083333;317.67
2020-12-31;5,599462;57,8;34,751613;27,023226;21,622581;65,620968;2,05776;,268403;-16.84888888;-42.06083333;317.67

