Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,384409;128,4;32,583333;26,293333;22,322581;78,322581;null;null;-16.58081;-39.783182;197.88
2020-02-29;6,438953;12,4;33,696552;27,344828;23,062069;73,784483;null;null;-16.58081;-39.783182;197.88
2020-03-31;7,696429;null;31,013043;25,697391;22,382609;81,293478;null;null;-16.58081;-39.783182;197.88
2020-04-30;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-05-31;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-06-30;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-07-31;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-08-31;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-09-30;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-10-31;null;null;null;null;null;null;null;null;-16.58081;-39.783182;197.88
2020-11-30;null;null;28,693333;null;null;83,5;null;null;-16.58081;-39.783182;197.88
2020-12-31;6,332418;21,9;31,796667;25,646667;21,235484;70,866667;null;null;-16.58081;-39.783182;197.88

