Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,453804;192,9;31,741935;25,315484;21,454839;76,548387;4,62996;1,189297;-17.9236111;-51.71749999;669.84
2020-02-29;7,441176;251,4;31,289655;24,776552;21,513793;80,818966;6,17328;1,135316;-17.9236111;-51.71749999;669.84
2020-03-31;4,845679;null;32,167742;24,812593;19,992593;63,064815;3,08664;,765386;-17.9236111;-51.71749999;669.84
2020-04-30;3,706897;75,1;30,24;23,042857;18,096429;null;5,65884;,612006;-17.9236111;-51.71749999;669.84
2020-05-31;null;null;null;null;null;null;null;null;-17.9236111;-51.71749999;669.84
2020-06-30;2,5;6;30,32069;20,324286;13,37931;null;5,65884;,38365;-17.9236111;-51.71749999;669.84
2020-07-31;1,90678;0;30,993103;20,333571;12,193333;null;3,60108;,540598;-17.9236111;-51.71749999;669.84
2020-08-31;1,616379;0;32,724138;21,8864;12,532143;null;5,65884;1,146208;-17.9236111;-51.71749999;669.84
2020-09-30;null;null;null;null;null;null;null;null;-17.9236111;-51.71749999;669.84
2020-10-31;4,637097;215,4;33,604167;25,270833;20,096774;null;4,62996;1,020583;-17.9236111;-51.71749999;669.84
2020-11-30;null;null;null;null;null;null;null;null;-17.9236111;-51.71749999;669.84
2020-12-31;7,379808;312,5;31,962963;24,7984;20,775862;null;3,60108;1,41471;-17.9236111;-51.71749999;669.84

