Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.021505;294;30.358065;24.652258;21.219355;79.677419;12.34656;.962501;-17.78527777;-50.96472222;780.04
2020-02-29;7.356322;344.6;29.882759;23.930345;21.127586;83.353448;9.77436;1.330448;-17.78527777;-50.96472222;780.04
2020-03-31;4.875;189;30.745161;24.444828;20.148276;73.290323;5.65884;1.02888;-17.78527777;-50.96472222;780.04
2020-04-30;3.492063;43.9;29.251852;23.271852;18.896552;77.777778;3.60108;.587931;-17.78527777;-50.96472222;780.04
2020-05-31;2.790698;54.5;26.585714;19.971111;15.003333;70.425926;3.60108;.669968;-17.78527777;-50.96472222;780.04
2020-06-30;2.559524;0;29.065517;21.529231;15.725;null;4.62996;1.02888;-17.78527777;-50.96472222;780.04
2020-07-31;.983607;0;29.713333;21.747333;15.332258;null;5.1444;.371071;-17.78527777;-50.96472222;780.04
2020-08-31;1.759259;0;31.051852;22.715;15.646154;null;5.65884;1.991073;-17.78527777;-50.96472222;780.04
2020-09-30;2.571839;14;34.707407;26.4352;19.172414;41.913793;5.1444;2.548548;-17.78527777;-50.96472222;780.04
2020-10-31;5.543478;109.3;34.5;26.335;20.925926;56.358333;5.65884;2.60078;-17.78527777;-50.96472222;780.04
2020-11-30;4.583333;135.8;32.373333;25.157333;19.55;57.866667;5.65884;2.274968;-17.78527777;-50.96472222;780.04
2020-12-31;7.142857;161.1;30.880645;24.863704;20.628571;73.65;5.65884;2.180778;-17.78527777;-50.96472222;780.04

