Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,290323;381,8;31,058065;25,218065;20,509677;77,556452;7;2,172043;-17.24416666;-46.88166666;711.41
2020-02-29;7,770115;311,9;30,048276;24,434483;20,317241;82,206897;5;2,183908;-17.24416666;-46.88166666;711.41
2020-03-31;7,234375;197;29,173077;23,717692;19,503704;82,317308;5,1444;2,526465;-17.24416666;-46.88166666;711.41
2020-04-30;6,292135;49,8;29,065517;23,453793;19,073333;79,198276;5,1444;2,473936;-17.24416666;-46.88166666;711.41
2020-05-31;null;null;null;null;null;null;null;null;-17.24416666;-46.88166666;711.41
2020-06-30;3,027778;0;27,266667;20,664;14,44;68,716667;5,1444;2,05776;-17.24416666;-46.88166666;711.41
2020-07-31;1,774194;0;28,145161;20,888387;14,451613;59,693548;9,25992;2,256898;-17.24416666;-46.88166666;711.41
2020-08-31;2,526882;0;28,948387;21,510968;15,025806;59,137097;8,23104;3,26272;-17.24416666;-46.88166666;711.41
2020-09-30;null;null;null;null;17,3;null;8,23104;null;-17.24416666;-46.88166666;711.41
2020-10-31;null;null;null;null;null;null;null;null;-17.24416666;-46.88166666;711.41
2020-11-30;null;null;null;null;null;null;null;null;-17.24416666;-46.88166666;711.41
2020-12-31;null;null;null;null;null;null;null;null;-17.24416666;-46.88166666;711.41

