Nome: ITAMARANDIBA
Codigo Estacao: 83488
Latitude: -17.85972222
Longitude: -42.85277777
Altitude: 919.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,204301;485,5;29,2;23,177419;18,870968;76,685484;4;1,778495;-17.85972222;-42.85277777;919.37
2020-02-29;6,770115;133,8;29,165517;23,08069;19,017241;78,336207;5;1,988506;-17.85972222;-42.85277777;919.37
2020-03-31;7,268817;175,5;26,351613;21,164;17,877419;83,790323;5;2,096774;-17.85972222;-42.85277777;919.37
2020-04-30;6,361111;52,5;25,766667;20,602667;17,176667;83;5,1444;2,109204;-17.85972222;-42.85277777;919.37
2020-05-31;null;null;null;null;null;null;null;null;-17.85972222;-42.85277777;919.37
2020-06-30;3,611111;7,2;24,633333;17,39;12,503333;80,616667;5,1444;1,88628;-17.85972222;-42.85277777;919.37
2020-07-31;4,139785;6,4;24,158065;16,981935;11,977419;79,290323;4,11552;2,051918;-17.85972222;-42.85277777;919.37
2020-08-31;4,771505;12,2;23,93871;17,076129;12,287097;77,66129;5,1444;2,217556;-17.85972222;-42.85277777;919.37
2020-09-30;2,527778;6,3;28,986667;20,583333;13,63;61,6;5,1444;2,149595;-17.85972222;-42.85277777;919.37
2020-10-31;6,478495;173,6;28,541935;21,947333;17,203333;72,387097;5,1444;2,068202;-17.85972222;-42.85277777;919.37
2020-11-30;null;null;null;null;null;null;null;null;-17.85972222;-42.85277777;919.37
2020-12-31;5,967742;91,5;29,677419;22,629677;17,922581;73,080645;4,11552;1,786711;-17.85972222;-42.85277777;919.37

