Nome: CARAVELAS
Codigo Estacao: 83498
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.391129;152;31.903226;26.0768;17.656;null;null;null;-17.73944444;-39.25861111;6.05
2020-02-29;5.344828;13;32.655172;26.242759;17.748276;null;null;null;-17.73944444;-39.25861111;6.05
2020-03-31;6.895161;277.6;30.774194;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-04-30;6.9375;324.4;30.263333;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-05-31;6.318182;37.6;29.8;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-06-30;5.294118;39.9;29.157692;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-07-31;4.953704;51;28.580769;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-08-31;6.394231;100.1;27.488462;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-09-30;5;null;29.422727;null;null;null;null;null;-17.73944444;-39.25861111;6.05
2020-10-31;7.115385;215;29.876;24.244;16.682353;null;null;null;-17.73944444;-39.25861111;6.05
2020-11-30;7.47449;278.4;29.18;24.1;15.704;null;null;null;-17.73944444;-39.25861111;6.05
2020-12-31;5.694444;31;31.066667;25.129565;15.565217;null;null;null;-17.73944444;-39.25861111;6.05

