Nome: IPAMERI
Codigo Estacao: 83522
Latitude: -17.724527
Longitude: -48.171916
Altitude: 778.14
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,788194;297;30,445161;24,734194;21,077419;79,66129;2,05776;,674857;-17.724527;-48.171916;778.14
2020-02-29;7,172131;407,1;29,937037;24,018519;20,653571;80,758621;2,05776;,662268;-17.724527;-48.171916;778.14
2020-03-31;4,657738;60,7;30,15;24,59;20,184;72,396552;2,05776;,886966;-17.724527;-48.171916;778.14
2020-04-30;3,480114;62,4;29,253571;23,245926;18,77931;72,577586;2,05776;,806735;-17.724527;-48.171916;778.14
2020-05-31;2,798913;1,2;27,322581;19,955484;14,119355;69,790323;2,05776;,671009;-17.724527;-48.171916;778.14
2020-06-30;2,162921;0;28,51;20,426429;13,689286;63,383333;2,05776;,682067;-17.724527;-48.171916;778.14
2020-07-31;1,438172;0;28,980645;20,684667;13,226667;53,516129;3,08664;,879526;-17.724527;-48.171916;778.14
2020-08-31;1,263736;0;29,648387;21,835862;14,46;46,66129;3,08664;1,15325;-17.724527;-48.171916;778.14
2020-09-30;1,402778;4;33,551724;25,666207;17,856667;38,183333;3,08664;1,05746;-17.724527;-48.171916;778.14
2020-10-31;4,086022;195,7;32,364516;25,906207;20,341379;58,508065;3,08664;,840805;-17.724527;-48.171916;778.14
2020-11-30;4,069444;109,3;30,923333;24,683448;19,610345;64,875;3,08664;,834536;-17.724527;-48.171916;778.14
2020-12-31;5;323,3;30,774194;24,85871;20,441935;73,25;2,05776;,68592;-17.724527;-48.171916;778.14

