Nome: CATALAO
Codigo Estacao: 83526
Latitude: -18.17027777
Longitude: -47.95805555
Altitude: 857.98
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.33871;514;30.467742;24.84;21.241935;77.564516;4.11552;1.023348;-18.17027777;-47.95805555;857.98
2020-02-29;7.729885;455.5;29;23.732414;20.382759;81.422414;3.08664;.993401;-18.17027777;-47.95805555;857.98
2020-03-31;5.055556;157.2;29.96;24.515862;20.39;71.65;4.11552;1.080324;-18.17027777;-47.95805555;857.98
2020-04-30;4.410112;25.8;29.527586;23.629286;19.393103;68.724138;2.5722;.716748;-18.17027777;-47.95805555;857.98
2020-05-31;3.615591;14.3;26.770968;20.415172;15.923333;66.443548;5.1444;.799619;-18.17027777;-47.95805555;857.98
2020-06-30;3.426966;0;28.32;21.401481;16.196296;61.025;3.08664;.884374;-18.17027777;-47.95805555;857.98
2020-07-31;2.540761;0;29.012903;21.596774;16.083871;52.75;4.11552;1.079206;-18.17027777;-47.95805555;857.98
2020-08-31;2.446237;0;29.770968;22.376667;16.483871;46.862903;4.11552;1.460346;-18.17027777;-47.95805555;857.98
2020-09-30;2.166667;8.2;33.292857;26.094815;20.171429;38.641667;4.11552;1.225408;-18.17027777;-47.95805555;857.98
2020-10-31;5.685484;92.9;32.673333;26.311724;21.586667;56.733871;4.11552;1.117386;-18.17027777;-47.95805555;857.98
2020-11-30;5.027778;142.3;31.016667;24.854;19.913333;62.358333;4.11552;.931708;-18.17027777;-47.95805555;857.98
2020-12-31;7.282609;240.8;30.466667;24.756;20.454839;72.096774;3.08664;.671009;-18.17027777;-47.95805555;857.98

