Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.74749999
Longitude: -44.45472222
Altitude: 668.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,150538;321,9;31,983871;25,730968;21,53871;76,467742;5;1,451613;-18.74749999;-44.45472222;668.26
2020-02-29;5,816092;186,9;30,972414;25,017931;20,975862;78,077586;10;1,827586;-18.74749999;-44.45472222;668.26
2020-03-31;4,619565;208;30,293548;24,22;19,306452;75,466667;7;1,728261;-18.74749999;-44.45472222;668.26
2020-04-30;4,244444;56,6;30,196667;null;18,583333;null;5;1,471111;-18.74749999;-44.45472222;668.26
2020-05-31;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-06-30;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-07-31;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-08-31;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-09-30;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-10-31;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-11-30;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26
2020-12-31;null;null;null;null;null;null;null;null;-18.74749999;-44.45472222;668.26

