Nome: SAO MATEUS
Codigo Estacao: 83550
Latitude: -18.71388888
Longitude: -39.8486111
Altitude: 25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;326,9;31,516129;null;22,925806;null;null;null;-18.71388888;-39.8486111;25
2020-02-29;null;43,1;33,206897;null;23,365517;null;null;null;-18.71388888;-39.8486111;25
2020-03-31;7,137097;152,6;null;null;22,493548;null;null;null;-18.71388888;-39.8486111;25
2020-04-30;5,75;33,4;null;null;21,67;null;null;null;-18.71388888;-39.8486111;25
2020-05-31;null;null;null;null;null;null;null;null;-18.71388888;-39.8486111;25
2020-06-30;5,560345;61,5;null;null;19,116667;null;null;null;-18.71388888;-39.8486111;25
2020-07-31;4,516129;61,9;null;null;18,136667;null;null;null;-18.71388888;-39.8486111;25
2020-08-31;5,9375;78,7;null;null;18,317857;null;null;null;-18.71388888;-39.8486111;25
2020-09-30;5,927419;49,8;null;null;19,153333;null;null;null;-18.71388888;-39.8486111;25
2020-10-31;8,145161;174,2;null;null;21,651613;null;null;null;-18.71388888;-39.8486111;25
2020-11-30;null;null;null;null;null;null;null;null;-18.71388888;-39.8486111;25
2020-12-31;6,572581;91,1;null;null;22,487097;null;null;null;-18.71388888;-39.8486111;25

